列車番号,,568E,573H,572E,670E,575H,574E,661H,660E,665H,664E,666E,679H,678E,764E,677H,676E,763H,762E,769H,768E,864E,773H,875H,874E,871H,870E,861H,860E,967H,966E,979H,978E,1069H,1068E,1065H,1064E,1175H,1174E,1161H,1160E,1267H,1266E,1279H,1278E,1369H,1368E,1365H,1364E,1475H,1474E,1461H,1460E,1567H,1566E,1579H,1578E,1669H,1668E,1766E,1665H,1664E,1677H,1770E,1775H,1774E,1866E,1761H,1760E,1777H,1879H,1878E,1869H,1868E,1877H,1876E,1965H,1964E,1975H,1974E,1967H,1966E,2061H,2079H,2078E,2169H,2168E,2161H,2160E,2177H,2176E,2275H,2274E,2267H,2266E,2379H,2461H
種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,高麗川,南古谷,高麗川,高麗川,南古谷,高麗川,川越,高麗川,川越,高麗川,高麗川,川越,高麗川,拝島,南古谷,高麗川,川越,高麗川,川越,高麗川,拝島,川越,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,拝島,川越,高麗川,川越,箱根ケ崎,川越,高麗川,箱根ケ崎,川越,高麗川,川越,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,高麗川,川越,川越
終着駅,,八王子,高麗川,八王子,八王子,高麗川,拝島,高麗川,八王子,高麗川,八王子,八王子,高麗川,八王子,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,八王子,高麗川,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,八王子,高麗川,八王子,高麗川,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,八王子,高麗川,拝島,高麗川,高麗川
川越,発,,516,,,547,,601,,626,,,647,,,702,,719,,736,,,757,819,,837,,854,,917,,946,,1011,,1039,,1107,,1137,,1207,,1237,,1307,,1337,,1407,,1437,,1507,,1537,,1606,,,1630,,1649,,1701,,,1727,,1749,1810,,1835,,1855,,1916,,1938,,1959,,2020,2041,,2102,,2123,,2146,,2224,,2246,,2331,15
西川越,着,,519,,,550,,604,,629,,,650,,,705,,722,,739,,,800,822,,840,,857,,920,,949,,1014,,1042,,1110,,1140,,1210,,1240,,1310,,1340,,1410,,1440,,1510,,1540,,1609,,,1633,,1652,,1704,,,1730,,1752,1813,,1838,,1858,,1919,,1941,,2002,,2023,2044,,2105,,2126,,2149,,2227,,2249,,2334,18
西川越,発,,519,,,550,,605,,629,,,650,,,705,,722,,740,,,800,822,,840,,858,,920,,950,,1014,,1042,,1110,,1140,,1210,,1240,,1310,,1340,,1410,,1440,,1510,,1540,,1610,,,1634,,1652,,1705,,,1730,,1753,1814,,1838,,1859,,1920,,1942,,2003,,2024,2044,,2105,,2126,,2149,,2227,,2250,,2335,19
的場,着,,522,,,553,,608,,632,,,653,,,708,,725,,743,,,803,825,,843,,901,,923,,953,,1017,,1045,,1113,,1143,,1213,,1243,,1313,,1343,,1413,,1443,,1513,,1543,,1613,,,1637,,1655,,1708,,,1733,,1756,1817,,1841,,1902,,1923,,1945,,2006,,2027,2047,,2108,,2129,,2152,,2230,,2253,,2338,22
的場,発,,522,,,553,,611,,632,,,654,,,711,,729,,746,,,807,831,,847,,904,,923,,956,,1021,,1048,,1116,,1146,,1216,,1246,,1316,,1346,,1416,,1446,,1517,,1547,,1616,,,1641,,1655,,1711,,,1737,,1756,1821,,1841,,1902,,1923,,1945,,2006,,2029,2048,,2108,,2134,,2154,,2233,,2253,,2338,22
