列車番号,,440K,442K,450K,402K,400K,590K,552K,504K,221M,508K,640K,506F,610K,121M,648K,650K,644F,654K,600K,123M,612F,752K,4614K,125M,746K,642F,4708K,223M,716K,756K,4702F,127M,738K,718K,4758K,225M,790F,854K,4720K,227M,882K,704F,4846K,229M,836K,860K,840F,856K,888K,862K,231M,848F,938K,810K,964K,880F,233M,968K,984K,986F,970K,129M,954K,235M,950F,1062K,237M,942K,966F,1064K,239M,1044K,1006F,1084K,131M,1038K,1016F,1154K,241M,1004K,1000F,1142K,1170K,243M,1182F,1144K,1162K,1136F,1238K,245M,1164K,1118F,1204K,1284K,247M,1280F,1270K,1254K,1268F,1362K,249M,1242K,1286F,1364K,1344K,251M,1348F,1384K,1338K,1306F,1454K,253M,1304K,1310F,1442K,1470K,255M,1400F,1444K,1462K,1482F,1538K,257M,1464K,1440F,1504K,1584K,259M,1550F,1570K,1554K,1580F,1662K,261M,1542K,1566F,1664K,133M,1656K,1644K,1616F,1684K,135M,1638K,1686F,1754K,137M,1760K,1604K,1648F,1742K,263M,1770K,1718F,1744K,265M,1762K,1736F,1884K,267M,1764K,1782F,1860K,269M,1800K,1868F,1870K,271M,1850K,1810F,1944K,273M,1842K,1880F,1964K,275M,1940K,1906F,1900K,277M,1986K,1916F,2050K,279M,1984K,1938F,2042K,139M,2070K,2004F,2082K,281M,2036K,2018F,2186K,141M,2064K,2062F,2184K,143M,2100K,2148F,2170K,283M,2144K,2156F,2236K,2142K,2110F,2264K,285M,2282K,287M,2286K,2318K,2254K,2342K,2206K,2300K,2316K,2418K,2340K,2406K,2478K
種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,赤羽,赤羽,大宮,指扇,川越,指扇,大宮,川越,新宿,南古谷,大宮,川越,指扇,新宿,池袋,大宮,川越,大宮,大宮,新宿,川越,武蔵浦和,指扇,新宿,大宮,川越,武蔵浦和,新宿,指扇,大宮,川越,新宿,武蔵浦和,指扇,大宮,新宿,川越,武蔵浦和,指扇,新宿,大宮,川越,武蔵浦和,新宿,大宮,大宮,川越,武蔵浦和,大宮,大宮,新宿,川越,武蔵浦和,大宮,大宮,川越,新宿,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,新宿,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,池袋,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,池袋,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,新宿,大宮,赤羽,川越,赤羽,川越,大宮,川越,赤羽,川越,赤羽,赤羽
終着駅,,池袋,池袋,池袋,池袋,新宿,新宿,新宿,新宿,海老名,新宿,新宿,大崎,大崎,海老名,新宿,大崎,大崎,新宿,大崎,海老名,大崎,大崎,新宿,海老名,新宿,大崎,新宿,海老名,大崎,新宿,新宿,海老名,新宿,大崎,新宿,海老名,大崎,新宿,新宿,海老名,大崎,大崎,新宿,海老名,大崎,新宿,大崎,新宿,大崎,新宿,海老名,大崎,新宿,大崎,新宿,大崎,海老名,大崎,新宿,大崎,新宿,海老名,新宿,海老名,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,海老名,大崎,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,海老名,大崎,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,海老名,大崎,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,海老名,大崎,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,海老名,大崎,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,大崎,新宿,大崎,新宿,海老名,大崎,大崎,大崎,海老名,新宿,大崎,大崎,新宿,海老名,新宿,大崎,新宿,海老名,大崎,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,大崎,海老名,新宿,大崎,新宿,海老名,大崎,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,新宿,海老名,大崎,海老名,大崎,新宿,新宿,大崎,新宿,新宿,新宿,池袋,池袋,池袋,池袋
川越,発,,,,,451,,,524,,,,548,,,,,603,,,,619,,,,,641,,,,,703,,,,,,725,,,,,749,,,,,808,,,,,826,,,,845,,,,905,,,,,925,,,,945,,,,1005,,,,1025,,,,1045,,,,1105,,,1125,,,,1145,,,,1205,,,1225,,,,1245,,,,1305,,,1325,,,,1345,,,,1405,,,1425,,,,1445,,,,1505,,,1525,,,,1545,,,,,1605,,,,1625,,,,,1645,,,,1705,,,,1725,,,,1746,,,,1807,,,,1827,,,,1845,,,,1905,,,,1925,,,,1945,,,,2005,,,,2025,,,,2045,,,,2105,,,,2125,,,2145,,,,,,,2215,,2241,,2302,,2326,,
南古谷,着,,,,,455,,,528,,,,552,,,,,607,,,,623,,,,,645,,,,,707,,,,,,729,,,,,753,,,,,812,,,,,830,,,,849,,,,909,,,,,929,,,,949,,,,1009,,,,1029,,,,1049,,,,1109,,,1129,,,,1149,,,,1209,,,1229,,,,1249,,,,1309,,,1329,,,,1349,,,,1409,,,1429,,,,1449,,,,1509,,,1529,,,,1549,,,,,1609,,,,1629,,,,,1649,,,,1709,,,,1729,,,,1750,,,,1811,,,,1831,,,,1849,,,,1909,,,,1929,,,,1949,,,,2009,,,,2029,,,,2049,,,,2109,,,,2129,,,2149,,,,,,,2219,,2245,,2306,,2330,,
南古谷,発,,,,,455,,,529,,536,,553,,,,,607,,,,625,,,,,648,,,,,710,,,,,,730,,,,,754,,,,,813,,,,,831,,,,850,,,,910,,,,,930,,,,950,,,,1010,,,,1030,,,,1050,,,,1110,,,1130,,,,1150,,,,1210,,,1230,,,,1250,,,,1311,,,1330,,,,1350,,,,1410,,,1430,,,,1450,,,,1510,,,1530,,,,1550,,,,,1610,,,,1630,,,,,1650,,,,1710,,,,1730,,,,1751,,,,1812,,,,1832,,,,1850,,,,1910,,,,1930,,,,1950,,,,2010,,,,2030,,,,2050,,,,2110,,,,2130,,,2150,,,,,,,2219,,2246,,2307,,2331,,
指扇,着,,,,,459,,,533,,540,,557,,,,,611,,,,629,,,,,652,,,,,714,,,,,,734,,,,,758,,,,,817,,,,,835,,,,854,,,,914,,,,,934,,,,954,,,,1014,,,,1034,,,,1054,,,,1114,,,1134,,,,1154,,,,1214,,,1234,,,,1254,,,,1315,,,1334,,,,1354,,,,1414,,,1434,,,,1454,,,,1514,,,1534,,,,1554,,,,,1614,,,,1634,,,,,1654,,,,1714,,,,1734,,,,1755,,,,1816,,,,1836,,,,1854,,,,1914,,,,1934,,,,1954,,,,2014,,,,2034,,,,2054,,,,2114,,,,2134,,,2154,,,,,,,2223,,2250,,2311,,2335,,
指扇,発,,,,449,500,515,,533,,541,,557,602,,,,612,,,,630,,645,,,652,,,705,,715,,,725,,,735,,745,,,758,,,,,817,,,,,835,,,,855,,,,915,,,,,935,,,,955,,,,1015,,,,1035,,,,1055,,,,1115,,,1135,,,,1155,,,,1215,,,1235,,,,1255,,,,1315,,,1335,,,,1355,,,,1415,,,1435,,,,1455,,,,1515,,,1535,,,,1555,,,,,1615,,,,1635,,,,,1655,,,,1715,,,,1735,,,,1756,,,,1817,,,,1837,,,,1855,,,,1915,,,,1935,,,,1955,,,,2015,,,,2035,,,,2055,,,,2115,,,,2135,,,2155,,,,,,,2225,,2250,,2312,,2336,,
西大宮,着,,,,451,502,517,,535,,543,,559,604,,,,614,,,,632,,647,,,654,,,707,,717,,,727,,,737,,747,,,800,,,,,819,,,,,837,,,,857,,,,917,,,,,937,,,,957,,,,1017,,,,1037,,,,1057,,,,1117,,,1137,,,,1157,,,,1217,,,1237,,,,1257,,,,1317,,,1337,,,,1357,,,,1417,,,1437,,,,1457,,,,1517,,,1537,,,,1557,,,,,1617,,,,1637,,,,,1657,,,,1717,,,,1737,,,,1758,,,,1819,,,,1839,,,,1857,,,,1917,,,,1937,,,,1957,,,,2017,,,,2037,,,,2057,,,,2117,,,,2137,,,2157,,,,,,,2227,,2252,,2314,,2338,,
