運用ID,運用番号,出庫,入庫,列車1,列車2,列車3,列車4,列車5,列車6,列車7,列車8,列車9,列車10,列車11,列車12,列車13,列車14,列車15,列車16,列車17,列車18,列車19,列車20,列車21,列車22,列車23,列車24,列車25,列車26,列車27,列車28,列車29,列車30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja01,1,川越車セ,大宮 21番線,回送 川越,400K,501K,600K,801K,800K,901F,1000F,1201F,1400F,1501K,1600K,1601K,1800K,1901K,1900K,2001K,2100K,2201K,2300K,2401K,2300K大宮 2312,2401K新宿 2400,,,,,,,
ja03,3,川越車セ,かしわ台 車セ,回送,402K,503K,127M・4702F,3127,3134,134M,237M,6237,回送,相模大塚電留線,回送,6256,256M,133M,3133,3138,138M,271M,6271,6282,282M,143M,3143,回送,3143羽沢横浜国大 2238,回送海老名 2307,,,
ja05,5,川越車セ,東臨 運輸区,回送,504K,605F,704F,905K,1004K,1105K,1204K,1205K,1304K,1405K,1504K,1505K,1604K,1805F,2004F,2105K,2204K,2305K,2204K大崎 2231,2305K新木場 2305,,,,,,,,,
ja07,7,川越車セ,池袋 電留線,回送,506F,707K,706K,807F,1006F,1107F,1306F,1507K,1506K,1607K,1606K,1707F,1906F,2107F,2206K,2307K,2406K,2307K新宿 2352,2406K赤羽 2425,,,,,,,,,,
ja09,9,川越車セ,かしわ台 車セ,508K,609K,223M・4708K,6223,6230,230M,235M,6235,6240,240M,247M,6247,6250,250M,257M,6257,6264,264M,265M,6265,6276,276M,139M,3139,3144,144M,287M,6287,回送,6287羽沢横浜国大 2355
ja11,11,川越車セ,新木場 1番線,回送,610K,711K,810K,1011K,1110K,1211F,1310F,1511K,1610K,1611F,1810F,2011F,2110F,2311K,2310K,2311K新木場 2322,2310K大崎 2347,,,,,,,,,,,,
ja13,13,川越車セ,池袋 電留線,回送,612F,813K,612F川越 619,813K新木場 810,,,,,,,,,,,,,,,,,,,,,,,,,
ja15,15,川越車セ,かしわ台 車セ,回送,125M・4614K,3125,回送,相模大塚電留線,回送,3136,136M,241M,6241,回送,相模大塚電留線,回送,6268,268M,269M,6269,6280,280M,141M,3141,回送,3141羽沢横浜国大 2216,回送海老名 2242,,,,,,
ja17,17,川越車セ,新宿 3番線,回送,716K,817F,1016F,1217K,1216K,1317K,1316K,1417F,1616F,1717F,1916F,2117F,2316K,2117F新木場 2120,2316K川越 2302,,,,,,,,,,,,,,
ja19,19,川越車セ,池袋 電留線,回送,718K,819K,918K,919F,1118F,1319K,1418K,1419K,3418K,1519F,1718F,1819F,2018F,2219K,2318K,2319K,2418K,2419K,2478K,2419K池袋 2422,2478K赤羽 2445,,,,,,,,
ja21,21,川越車セ,かしわ台 車セ,回送,227M・4720K,6227,6234,234M,131M,3131,回送,相模大塚電留線,回送,6262,262M,263M,6263,回送,回送,回送海老名 1918,回送相模大塚 1931,,,,,,,,,,,,
