列車番号,,573H,441K,443K,575H,545K,541K,543K,677H,551K,503K,501K,691F,647K,120M,653K,605F,657K,122M,609K,641F,659K,639K,749F,220M,683K,637K,755K,681F,124M,4761K,789K,747K,787F,126M,4763K,711K,857K,751F,222M,4865K,785K,839K,224M,4867F,855K,813K,226M,4869K,807F,843K,228M,4971K,817F,957K,845K,128M,963K,901F,939K,953K,130M,965K,983F,905K,132M,1085K,937F,230M,1071K,134M,1055K,919F,1063K,232M,1043K,1081F,1065K,234M,1145K,1069F,1185K,1139K,1087F,136M,1155K,1105K,1149F,236M,1143K,1271K,1107F,1245K,238M,1263K,1211F,1239K,1265K,1201F,240M,1205K,1385K,1283F,1371K,242M,1355K,1341F,1363K,1343K,1351F,244M,1365K,1445K,1381F,1485K,246M,1439K,1467F,1455K,1405K,1417F,248M,1443K,1571K,1487F,1545K,250M,1563K,1549F,1539K,1565K,1519F,252M,1505K,1685K,1537F,1671K,254M,1655K,1683F,1663K,256M,1643K,1669F,1665K,258M,1745K,1611F,1601K,260M,1785K,1781F,1751K,262M,1761K,1707F,1743K,1767K,264M,1871K,1717F,1741K,266M,1845K,1739F,1885K,1887K,1865K,268M,1805F,1861K,138M,1901K,1819F,1971K,140M,1951K,1863F,1937K,270M,1943K,1949F,2065K,1983K,272M,1957F,2001K,2087K,274M,2011F,2051K,2045K,276M,2085K,2055F,2043K,278M,2171K,2069F,2183K,280M,2137K,2107F,2187K,282M,2165K,2117F,2185K,284M,2201K,2141F,2271K,2245K,2219K,142M,2237K,2243K,2239K,2365K,144M,2263K,2319K,2249K,2355K,2357K,2307K,2401K,2419K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820Y,2520Y,2822Y,2522Y,2824Y,2524Y,2826Y,2526Y,4520Y,1091M,2828Y,2528Y,4820Y,1083M,4522Y,2530Y,2830Y,4524Y,4822Y,2532Y,2832Y,4526Y,4824Y,2534Y,2834Y,4528Y,4826Y,2536Y,2836Y,4530Y,4828Y,2538Y,2838Y,4532Y,4830Y,2540Y,2840Y,4534Y,4832Y,2542Y,2842Y,4536Y,4834Y,2544Y,2844Y,2546Y,2846Y,2548Y,2848Y,2550Y,2850Y,2852Y,2552Y,2854Y,2554Y,2856Y,2858Y,2556Y,2860Y,2558Y,2862Y,2560Y,2864Y,2562Y,2868Y,2870Y,,,,,,,,,,,,,573F,565F,521F,553F,691F,513F,657F,462S,511F,408S,409F,542S,543F,576S,577F,532S,533F,791F,568S,569F,630S,631F,781F,628S,622S,623F,626S,773F,658S,659F,766S,767F,648S,649F,843F,746S,747F,855F,718S,719F,734S,735F,853F,792S,793F,762S,763F,884S,885F,981F,850S,851F,816S,817F,844S,845F,860S,861F,904S,905F,856H,906S,907F,924S,925F,952H,914S,915F,920S,921F,940S,910S,911F,956H,1137F,1078S,1079F,1181F,1052H,1088S,1089F,1008S,1167F,1004H,1072S,1073F,1219F,1026S,1027F,1152H,1142S,1143F,1168S,1169F,1104H,1190S,1191F,1345F,1146S,1147F,1292S,1293F,1252H,1258S,1259F,1204H,1204S,1205F,1419F,1250S,1251F,1324S,1325F,1352H,1352S,1353F,1304H,1362S,1363F,1545F,1314S,1315F,1436S,1437F,1452H,1585F,1460S,1461F,1404H,1406S,1407F,1619F,1466S,1467F,1542S,1543F,1552H,1510S,1511F,1504H,1675F,1580S,1581F,1721F,1568S,1569F,1664S,1665F,1612S,1613F,1741F,1648S,1649F,1604H,1626S,1627F,1692S,1693F,1833F,2545M,1682S,1683F,1772S,1773F,1831F,1756S,1757F,2385M,1704H,1746S,1747F,1724S,1725F,1758S,1907F,1949F,1836S,1837F,1890S,1891F,1886S,1844S,1845F,1822S,1823F,2075F,1884S,1885F,1916S,1917F,1904S,1905F,1976S,1977F,1966S,1967F,1942S,1943F,1952S,1953F,1962S,1963F,2078S,2079F,2014S,2015F,2008S,2193F,2102S,2103F,2064S,2065F,2050S,2051F,2146S,2147F,2118S,2119F,2182S,2183F,2172S,2173F,2186S,2187F,2381F,2220S,2221F,2232S,2351F,2248S,2249F,2356S,2326S
種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快速,普通,快速,普通,快速,普通,快速,普通,快速,特急,快速,普通,特別快速,特急,快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,,,,,,,,,,,,,快速,快速,快速,快速,快速,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,快速,普通,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,快速,快速,普通,普通,快速,普通,快速,普通,普通,快速,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,快速,快速,普通,快速,普通,快速,普通,普通,快速,普通,普通,快速,快速,普通,快速,普通,快速,普通,普通,快速,普通,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,普通,快速,快速,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,普通,快速,普通,快速,快速,普通,普通,快速,普通,快速,快速,普通,快速,普通,普通,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,南古谷,池袋,池袋,南古谷,池袋,池袋,池袋,南古谷,池袋,池袋,新宿,新宿,新宿,海老名,新宿,新宿,新宿,海老名,新宿,新宿,大崎,大崎,新宿,海老名,大崎,大崎,新宿,大崎,海老名,新宿,大崎,新宿,大崎,海老名,新宿,大崎,新宿,大崎,海老名,新宿,大崎,新宿,海老名,新宿,新宿,大崎,海老名,新宿,大崎,大崎,海老名,新宿,大崎,新宿,大崎,海老名,新宿,大崎,新宿,大崎,海老名,新宿,大崎,大崎,海老名,新宿,大崎,海老名,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,大崎,海老名,新宿,大崎,大崎,海老名,新宿,大崎,新宿,大崎,海老名,新宿,大崎,大崎,海老名,新宿,大崎,新宿,大崎,新宿,海老名,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,大崎,海老名,新宿,大崎,新宿,大崎,海老名,大崎,新宿,新宿,海老名,大崎,新宿,大崎,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,海老名,新宿,大崎,新宿,新宿,大崎,海老名,新宿,新宿,大崎,新宿,海老名,大崎,新宿,大崎,新宿,大崎,新宿,新宿,池袋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国府津,大船,国府津,逗子,小田原,大船,小田原,大船,大船,新宿,小田原,大船,平塚,新宿,逗子,逗子,国府津,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,国府津,逗子,平塚,逗子,小田原,国府津,逗子,小田原,逗子,平塚,逗子,平塚,逗子,国府津,国府津,,,,,,,,,,,,,津田沼,東京,東京,津田沼,津田沼,東京,津田沼,久里浜,東京,久里浜,東京,久里浜,東京,久里浜,東京,久里浜,東京,東京,久里浜,東京,横須賀,東京,東京,久里浜,逗子,東京,久里浜,東京,久里浜,東京,逗子,東京,久里浜,東京,東京,久里浜,東京,東京,久里浜,東京,逗子,東京,東京,久里浜,東京,久里浜,東京,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,東京,久里浜,東京,逗子,東京,久里浜,逗子,東京,逗子,東京,久里浜,大船,東京,逗子,東京,大船,久里浜,東京,久里浜,東京,逗子,東京,東京,久里浜,逗子,東京,逗子,東京,久里浜,逗子,東京,東京,久里浜,東京,久里浜,逗子,東京,逗子,東京,久里浜,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,逗子,東京,久里浜,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,逗子,東京,久里浜,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,東京,逗子,東京,久里浜,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,逗子,東京,久里浜,東京,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,東京,東京,大船,東京,久里浜,逗子,東京,横須賀,東京,東京,鹿島神宮,久里浜,東京,久里浜,東京,東京,大船,東京,成東,久里浜,逗子,東京,横須賀,東京,久里浜,東京,東京,逗子,東京,久里浜,東京,大船,久里浜,東京,逗子,東京,東京,久里浜,東京,逗子,東京,久里浜,東京,久里浜,東京,久里浜,東京,横須賀,東京,久里浜,東京,久里浜,東京,大船,東京,久里浜,東京,久里浜,東京,大船,東京,久里浜,東京,久里浜,東京,逗子,東京,久里浜,東京,久里浜,東京,横須賀,東京,久里浜,東京,東京,久里浜,東京,逗子,東京,久里浜,東京,逗子,久里浜
終着駅,,八王子,赤羽,赤羽,高麗川,川越,大宮,川越,八王子,大宮,川越,大宮,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,新宿,川越,大宮,池袋,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,池袋,大宮,新宿,武蔵浦和,川越,大宮,池袋,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,新宿,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,川越,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,大宮,武蔵浦和,新宿,川越,川越,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,新宿,川越,大宮,武蔵浦和,新宿,川越,大宮,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,大宮,川越,大宮,川越,赤羽,新宿,大宮,赤羽,川越,川越,新宿,大宮,赤羽,川越,大宮,川越,赤羽,大宮,赤羽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高崎,宇都宮,籠原,宇都宮,籠原,小金井,高崎,小金井,宇都宮,東武日光,籠原,宇都宮,高崎,鬼怒川温泉,宇都宮,小金井,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,小金井,籠原,宇都宮,高崎,古河,籠原,宇都宮,高崎,宇都宮,籠原,小金井,高崎,小金井,籠原,宇都宮,籠原,高崎,小金井,籠原,宇都宮,籠原,前橋,小金井,高崎,小金井,高崎,小金井,籠原,小金井,籠原,籠原,,,,,,,,,,,,,上総一ノ宮,成田空港,君津,成田空港,千葉,佐倉,千葉,東京,千葉,東京,成田空港,東京,千葉,東京,君津,東京,津田沼,成田空港,東京,君津,東京,津田沼,千葉,東京,東京,千葉,東京,千葉,東京,君津,東京,成田空港,東京,千葉,千葉,東京,千葉,津田沼,東京,上総一ノ宮,東京,津田沼,君津,東京,千葉,東京,成田空港,東京,津田沼,千葉,東京,千葉,東京,津田沼,東京,上総一ノ宮,東京,君津,東京,千葉,逗子,東京,成田空港,東京,千葉,逗子,東京,千葉,東京,千葉,東京,東京,君津,逗子,千葉,東京,津田沼,成田空港,逗子,東京,千葉,東京,千葉,逗子,東京,君津,千葉,東京,成田空港,逗子,東京,千葉,東京,千葉,逗子,東京,君津,千葉,東京,成田空港,東京,千葉,逗子,東京,千葉,逗子,東京,君津,千葉,東京,成田空港,東京,千葉,逗子,東京,上総一ノ宮,逗子,東京,君津,千葉,東京,成田空港,東京,千葉,逗子,千葉,東京,上総一ノ宮,逗子,東京,君津,成田空港,東京,千葉,東京,千葉,逗子,東京,成田空港,逗子,君津,東京,上総一ノ宮,成田空港,東京,津田沼,東京,千葉,東京,千葉,君津,東京,千葉,逗子,東京,成田空港,東京,上総一ノ宮,成田空港,鹿島神宮,東京,千葉,東京,千葉,君津,東京,成田空港,成東,逗子,東京,津田沼,東京,上総一ノ宮,東京,成田空港,千葉,東京,成田,東京,君津,東京,東京,千葉,東京,上総一ノ宮,千葉,東京,君津,東京,成田空港,東京,君津,東京,佐倉,東京,千葉,東京,佐倉,東京,上総一ノ宮,東京,成田空港,東京,君津,東京,成田,東京,千葉,東京,佐倉,東京,成田空港,東京,千葉,東京,千葉,東京,千葉,東京,佐倉,東京,千葉,東京,千葉,千葉,東京,千葉,大船,津田沼,東京,千葉,品川,品川
羽沢横浜国大,発,,,,,,,,,,,,,,547,,,,605,,,,,,636,,,,,653,,,,,712,,,,,730,,,,751,,,,809,,,,823,,,,,841,,,,,902,,,,921,,,938,,948,,,,1006,,,,1027,,,,,,1057,,,,1117,,,,,1147,,,,,,1217,,,,,1247,,,,,,1317,,,,,1347,,,,,,1417,,,,,1447,,,,,,1517,,,,,1547,,,,1604,,,,1626,,,,1647,,,,1707,,,,,1730,,,,1747,,,,,,1810,,,1827,,,,1848,,,,1908,,,,,1929,,,,1955,,,,2008,,,,2027,,,,2047,,,,2106,,,,2125,,,,,,2202,,,,,2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵小杉,着,,,,,,,,,,,,,,601,,,,619,,,,,,650,,,,,707,,,,,726,,,,,744,,,,805,,,,823,,,,837,,,,,855,,,,,916,,,,935,,,952,,1002,,,,1020,,,,1041,,,,,,1111,,,,1131,,,,,1201,,,,,,1231,,,,,1301,,,,,,1331,,,,,1401,,,,,,1431,,,,,1501,,,,,,1531,,,,,1601,,,,1618,,,,1640,,,,1701,,,,1721,,,,,1744,,,,1801,,,,,,1824,,,1841,,,,1902,,,,1922,,,,,1943,,,,2009,,,,2022,,,,2041,,,,2101,,,,2120,,,,2139,,,,,,2216,,,,,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,659,715,741,803,816,826,846,,,915,930,952,,,1022,1029,,1059,1114,1126,,1159,1214,1228,,1259,1314,1326,,1358,1414,1426,,1459,1514,1526,,1559,1614,1626,,1659,1713,1729,1746,1759,1812,1827,1844,1852,1901,1914,1929,1945,2000,2015,2028,2045,2058,2119,2138,2201,2218,2237,2310,,,,,,,,,,,,,,,,,,,,533,,550,,614,,629,,644,,,656,,703,,,712,724,,735,,744,,751,,800,,,811,,,824,,832,,,842,,851,,854,,,912,,921,,927,,933,,944,,,949,,958,,,1005,,1016,,1026,1034,,,,1053,,,,1105,,1120,,,1135,,,1153,,,1205,,1221,,,1235,,,1253,,1305,,,1321,,,1335,,,1353,,1405,,,1421,,,1435,,,1453,,1505,,,,1522,,,1535,,,1552,,1605,,,1617,,,,1632,,,1648,,1655,,1706,,,1720,,,1726,,1734,,,,1751,,1804,,,1818,,,,1823,,1832,,1848,,,1858,,1908,,1921,1926,,1935,,,1948,,1955,,2006,,2020,,2031,,2038,,2049,,2104,,2109,,2116,,2125,,2132,,2145,,2154,,2207,,2222,,2235,,2244,,2256,,,2318,,,,2341,,2356,16
武蔵小杉,発,,,,,,,,,,,,,,603,,,,620,,,,,,654,,,,,711,,,,,731,,,,,749,,,,809,,,,823,,,,841,,,,,859,,,,,920,,,,937,,,956,,1004,,,,1021,,,,1042,,,,,,1111,,,,1133,,,,,1203,,,,,,1233,,,,,1303,,,,,,1333,,,,,1403,,,,,,1433,,,,,1503,,,,,,1533,,,,,1603,,,,1622,,,,1643,,,,1704,,,,1724,,,,,1744,,,,1803,,,,,,1827,,,1843,,,,1905,,,,1925,,,,,1944,,,,2010,,,,2025,,,,2042,,,,2103,,,,2123,,,,2142,,,,,,2216,,,,,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,700,716,742,804,817,828,847,902,,916,931,953,,1012,1024,1030,1046,1100,1115,1127,1146,1200,1215,1230,1246,1300,1315,1327,1345,1359,1415,1427,1445,1500,1515,1527,1545,1600,1615,1627,1646,1700,1715,1730,1747,1800,1813,1830,1846,1855,1902,1915,1930,1946,2002,2016,2029,2047,2100,2120,2139,2203,2219,2238,2311,,,,,,,,,,,,,,,,,,,,534,,551,,615,,630,,645,,,657,,705,,,714,725,,736,,746,,752,,801,,,812,,,825,,833,,,843,,852,,855,,,913,,922,,928,,934,,945,,,950,,959,,,1006,,1017,,1027,1035,,,,1054,,,,1106,,1121,,,1136,,,1155,,,1206,,1222,,,1236,,,1255,,1306,,,1322,,,1336,,,1355,,1406,,,1422,,,1436,,,1455,,1507,,,,1523,,,1536,,,1553,,1606,,,1619,,,,1633,,,1649,,1656,,1707,,,1721,,,1727,,1735,,,,1752,,1806,,,1820,,,,1824,,1834,,1849,,,1859,,1910,,1922,1927,,1936,,,1949,,1957,,2007,,2021,,2032,,2039,,2050,,2105,,2110,,2117,,2126,,2134,,2146,,2155,,2209,,2223,,2236,,2245,,2257,,,2319,,,,2343,,2357,17
西大井,着,,,,,,,,,,,,,,608,,,,625,,,,,,659,,,,,716,,,,,736,,,,,754,,,,814,,,,828,,,,846,,,,,904,,,,,925,,,,942,,,1001,,1009,,,,1026,,,,1047,,,,,,1116,,,,1138,,,,,1208,,,,,,1238,,,,,1308,,,,,,1338,,,,,1408,,,,,,1438,,,,,1508,,,,,,1538,,,,,1608,,,,1627,,,,1648,,,,1709,,,,1729,,,,,1749,,,,1808,,,,,,1832,,,1848,,,,1910,,,,1930,,,,,1949,,,,2015,,,,2030,,,,2047,,,,2108,,,,2128,,,,2147,,,,,,2221,,,,,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,747,,822,,852,,,,936,,,,1029,,,,1120,,,,1220,,,,1320,,,,1420,,,,1520,,,,1620,,,,1720,,1752,,1818,,1851,,,1920,,1951,,,2034,,2105,,2144,,2224,,,,,,,,,,,,,,,,,,,,,,539,,556,,620,,635,,650,,,702,,710,,,719,730,,741,,751,,757,,806,,,817,,,830,,838,,,848,,857,,900,,,918,,927,,933,,939,,950,,,955,,1004,,,1011,,1022,,1032,1040,,,,1059,,,,1111,,1126,,,1141,,,1200,,,1211,,1227,,,1241,,,1300,,1311,,,1327,,,1341,,,1400,,1411,,,1427,,,1441,,,1500,,1512,,,,1528,,,1541,,,1558,,1611,,,1624,,,,1638,,,1654,,1701,,1712,,,1726,,,1732,,1740,,,,1757,,1811,,,1825,,,,1829,,1839,,1854,,,1904,,1915,,1927,1932,,1941,,,1954,,2002,,2012,,2026,,2037,,2044,,2055,,2110,,2115,,2122,,2131,,2139,,2151,,2200,,2214,,2228,,2241,,2250,,2302,,,2324,,,,2348,,2,22
西大井,発,,,,,,,,,,,,,,609,,,,625,,,,,,659,,,,,716,,,,,737,,,,,754,,,,814,,,,829,,,,847,,,,,905,,,,,925,,,,942,,,1001,,1009,,,,1026,,,,1048,,,,,,1117,,,,1139,,,,,1208,,,,,,1239,,,,,1309,,,,,,1338,,,,,1409,,,,,,1439,,,,,1509,,,,,,1539,,,,,1609,,,,1628,,,,1648,,,,1710,,,,1729,,,,,1750,,,,1809,,,,,,1832,,,1849,,,,1911,,,,1930,,,,,1949,,,,2015,,,,2031,,,,2048,,,,2108,,,,2129,,,,2147,,,,,,2222,,,,,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,レ642,706,レ721,748,レ809,822,レ833,853,レ907,,レ921,936,レ958,,レ1017,1029,レ1035,レ1051,レ1105,1121,レ1132,レ1151,レ1205,1221,レ1235,レ1251,レ1305,1321,レ1332,レ1350,レ1404,1421,レ1432,レ1450,レ1505,1521,レ1532,レ1550,レ1605,1621,レ1632,レ1651,レ1705,1720,レ1735,1753,レ1805,1819,レ1835,1852,レ1900,レ1907,1920,レ1935,1952,レ2007,レ2021,2035,レ2052,2105,レ2125,2144,レ2208,2225,レ2243,レ2316,,,,,,,,,,,,,,,,,,,,539,,556,,620,,636,,650,,,703,,710,,,719,730,,741,,751,,757,,806,,,817,,,831,,838,,,849,,857,,901,,,919,,927,,933,,939,,951,,,955,,1004,,,1012,,1023,,1032,1041,,,,1100,,,,1111,,1127,,,1141,,,1200,,,1211,,1228,,,1241,,,1300,,1311,,,1328,,,1341,,,1400,,1411,,,1428,,,1441,,,1500,,1512,,,,1528,,,1541,,,1559,,1611,,,1624,,,,1639,,,1654,,1701,,1712,,,1726,,,1733,,1741,,,,1757,,1811,,,1825,,,,1829,,1839,,1854,,,1905,,1915,,1927,1933,,1942,,,1954,,2002,,2012,,2026,,2037,,2045,,2055,,2110,,2115,,2123,,2132,,2139,,2151,,2201,,2214,,2228,,2241,,2250,,2302,,,2324,,,,2348,,2,22
大崎,着,,,,,,,,,,,,,,612,,,,630,,,,652,,703,705,711,,719,720,,728,,735,740,,749,,758,758,,805,,818,,,830,833,,840,847,850,,856,,904,909,,919,,927,929,,938,944,946,,955,1005,,1013,,1016,,1030,,1041,,1052,,1103,,,1116,1120,,,1140,1143,,,1159,,1212,,1219,,,1241,1244,,,1300,,1312,,1320,,,1340,1343,,,1400,,1412,,1420,,,1440,1443,,,1459,,1512,,1520,,,1540,1543,,,1600,,1612,,1621,,1632,,1639,,1652,,1658,1706,1713,,1719,1726,1733,,1737,,1745,1753,,1801,1807,1813,,1819,,1826,,1836,1842,,1852,,1859,,1914,,1918,1922,1934,,1941,,1949,1953,1959,,,2019,2021,,2030,2034,,2038,,2051,,2101,,2112,,2121,,2133,,2140,,2151,,2200,,,2221,2225,,,2241,,2257,2256,,2314,,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,709,724,751,812,825,836,856,910,,924,939,1001,,1020,1032,1038,1054,1108,1124,1135,1154,1208,1224,1238,1254,1308,1324,1335,1353,1407,1424,1435,1453,1508,1524,1535,1553,1608,1624,1635,1654,1708,1723,1738,1756,1808,1822,1838,1855,1903,1910,1923,1938,1955,2010,2024,2038,2055,2108,2128,2147,2211,2228,2246,2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
