列車番号,,440K,442K,450K,402K,400K,504K,506K,508K,590K,552K,221M,512K,510S,640K,514K,654K,648K,223M,644S,616K,620K,650K,618S,646K,225M,624K,622S,4600K,121M,752K,604K,642S,4756K,227M,626K,702S,714K,708K,4728K,229M,712K,706S,4744K,231M,730K,740K,790S,4850K,233M,862K,732K,848K,824K,736S,4734K,235M,810K,882S,858K,846K,4866K,237M,820S,852K,816K,860S,854K,123M,964K,886S,239M,988K,902K,918K,984S,980K,125M,924K,938S,904K,241M,1058K,968F,1086K,243M,1052K,1026F,1036K,245M,1062K,1012F,1124K,1180K,247M,1040F,1158K,1146K,249M,1148F,1152K,1104K,1182F,1262K,251M,1186K,1120F,1280K,1236K,253M,1264F,1246K,1224K,1284F,1304K,255M,1258K,1238F,1386K,1352K,257M,1388F,1336K,1362K,1326F,1424K,259M,1380K,1312F,1458K,1446K,261M,1432F,1452K,1404K,1448F,1562K,263M,1486K,1482F,1580K,1536K,265M,1568F,1546K,1524K,1564F,1604K,267M,1558K,1584F,269M,1686K,1652K,1620F,1636K,271M,1662K,1610K,1640F,1724K,127M,1670K,1626S,1780K,129M,1746K,1738S,1702K,1704K,1758K,131M,1732S,1736K,1742K,133M,1730K,1716S,1824K,1812K,1852K,135M,1882S,1808K,1810K,1870K,137M,1860S,1802K,1806K,1846K,273M,1864S,1936K,1986K,139M,1958K,1984S,1924K,1848K,1930K,141M,1968S,1908K,1988K,1952K,275M,1940S,2020K,2012K,2070K,143M,2026S,1962K,2004K,2132K,277M,2090S,2046K,2106K,145M,2036K,2042S,2158K,2182K,2124K,279M,2138S,2002K,2184K,2130K,2110S,2152K,281M,2120K,2264K,2270K,2212K,283M,2180K,2232K,285M,2286K,2236K,2260K,2324K,2268K,2340K,2404K,2326K,2412K,2474K
種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,赤羽,赤羽,大宮,指扇,川越,指扇,指扇,指扇,川越,大宮,新宿,南古谷,川越,大宮,指扇,大宮,池袋,新宿,川越,指扇,指扇,大宮,川越,武蔵浦和,新宿,指扇,川越,大宮,新宿,武蔵浦和,大宮,川越,大宮,新宿,指扇,川越,武蔵浦和,大宮,指扇,新宿,大宮,川越,武蔵浦和,新宿,指扇,大宮,川越,武蔵浦和,新宿,赤羽,指扇,大宮,武蔵浦和,川越,指扇,新宿,武蔵浦和,川越,大宮,大宮,赤羽,新宿,川越,大宮,武蔵浦和,川越,大宮,新宿,大宮,川越,新宿,武蔵浦和,赤羽,大宮,川越,大宮,新宿,大宮,川越,大宮,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,武蔵浦和,大宮,新宿,川越,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,川越,新宿,武蔵浦和,大宮,川越,武蔵浦和,新宿,大宮,武蔵浦和,川越,武蔵浦和,新宿,指扇,川越,大宮,新宿,大宮,川越,指扇,大宮,大宮,新宿,川越,武蔵浦和,指扇,新宿,大宮,川越,武蔵浦和,大宮,大宮,新宿,川越,武蔵浦和,大宮,大宮,新宿,川越,武蔵浦和,大宮,大宮,新宿,川越,武蔵浦和,大宮,新宿,大宮,川越,武蔵浦和,川越,大宮,新宿,川越,武蔵浦和,大宮,大宮,新宿,川越,大宮,赤羽,大宮,新宿,川越,川越,大宮,赤羽,新宿,川越,大宮,赤羽,新宿,大宮,川越,大宮,赤羽,大宮,新宿,川越,川越,赤羽,大宮,川越,大宮,新宿,大宮,赤羽,大宮,赤羽,新宿,川越,大宮,新宿,川越,大宮,川越,大宮,川越,川越,赤羽,川越,赤羽,赤羽
終着駅,,池袋,池袋,池袋,池袋,新宿,新宿,新宿,新宿,新宿,新宿,海老名,新宿,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新木場,新宿,海老名,新木場,新木場,新宿,新木場,新宿,海老名,新木場,新木場,新宿,海老名,新木場,新木場,新木場,新宿,海老名,新木場,新木場,新木場,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新木場,新宿,海老名,新木場,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,新宿,海老名,新宿,新木場,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新宿,新木場,新木場,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新木場,新宿,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,海老名,新木場,新宿,大崎,新宿,新宿,新宿,池袋,池袋,池袋,池袋
川越,発,,,,,451,,,,524,,,,549,,,,,,609,,,,625,,,,636,,,,,650,,,,705,,,,,,720,,,,,737,,,,,,,753,,,,808,,,,,823,,,837,,,,855,,,,,912,,,,932,,,,950,,,,1005,,,,1028,,,,1045,,,,1105,,,1125,,,,1145,,,,1205,,,1225,,,,1245,,,,1305,,,1325,,,,1345,,,,1405,,,1425,,,,1445,,,,1505,,,1525,,,,1545,,,,1605,,,,,1625,,,,1645,,,,1705,,,,,1725,,,,,1745,,,,,1805,,,,,1825,,,,,1845,,,,,1905,,1854,,,1925,,,,,1945,,,,,2005,1954,,,,2025,,,,,2045,,,,,2105,2056,,,2125,,,,,,,,2145,,,2201,,2222,,2243,2304,,2326,,
南古谷,着,,,,,455,,,,528,,,,553,,,,,,613,,,,629,,,,640,,,,,654,,,,709,,,,,,724,,,,,741,,,,,,,757,,,,812,,,,,827,,,841,,,,859,,,,,916,,,,936,,,,954,,,,1009,,,,1032,,,,1049,,,,1109,,,1129,,,,1149,,,,1209,,,1229,,,,1249,,,,1309,,,1329,,,,1349,,,,1409,,,1429,,,,1449,,,,1509,,,1529,,,,1549,,,,1609,,,,,1629,,,,1649,,,,1709,,,,,1729,,,,,1749,,,,,1809,,,,,1829,,,,,1849,,,,,1909,,1858,,,1929,,,,,1949,,,,,2009,1958,,,,2029,,,,,2049,,,,,2109,2100,,,2129,,,,,,,,2149,,,2205,,2226,,2247,2308,,2330,,
南古谷,発,,,,,455,,,,529,,,541,557,,,,,,614,,,,630,,,,641,,,,,654,,,,710,,,,,,726,,,,,742,,,,,,,758,,,,813,,,,,828,,,842,,,,900,,,,,917,,,,937,,,,955,,,,1011,,,,1034,,,,1052,,,,1110,,,1130,,,,1150,,,,1210,,,1230,,,,1250,,,,1311,,,1330,,,,1350,,,,1410,,,1430,,,,1450,,,,1510,,,1530,,,,1550,,,,1610,,,,,1630,,,,1650,,,,1710,,,,,1730,,,,,1751,,,,,1810,,,,,1830,,,,,1850,,,,,1910,,1859,,,1930,,,,,1950,,,,,2010,1959,,,,2030,,,,,2050,,,,,2112,2101,,,2130,,,,,,,,2150,,,2206,,2227,,2248,2309,,2331,,
指扇,着,,,,,459,,,,533,,,545,601,,,,,,618,,,,634,,,,645,,,,,658,,,,714,,,,,,730,,,,,746,,,,,,,802,,,,817,,,,,832,,,846,,,,904,,,,,921,,,,941,,,,959,,,,1015,,,,1038,,,,1056,,,,1114,,,1134,,,,1154,,,,1214,,,1234,,,,1254,,,,1315,,,1334,,,,1354,,,,1414,,,1434,,,,1454,,,,1514,,,1534,,,,1554,,,,1614,,,,,1634,,,,1654,,,,1714,,,,,1734,,,,,1755,,,,,1814,,,,,1834,,,,,1854,,,,,1914,,1903,,,1934,,,,,1954,,,,,2014,2003,,,,2034,,,,,2054,,,,,2116,2105,,,2134,,,,,,,,2154,,,2210,,2231,,2252,2313,,2335,,
指扇,発,,,,449,500,508,516,525,533,,,547,601,,557,,,,619,605,614,,636,,,629,646,,,,,700,,,651,716,,,709,,,731,,,724,,747,,,,739,,,803,754,,,818,,,,,833,,,847,,,,905,,,,,921,,,,942,,,,1000,,,,1017,,,,1038,,,,1056,,,,1115,,,1135,,,,1155,,,,1215,,,1235,,,,1255,,,,1315,,,1335,,,,1355,,,,1415,,,1435,,,,1455,,,,1515,,,1535,,,,1555,,,,1615,,,,,1635,,,1644,1655,,,,1715,1707,,,,1735,,1727,,,1755,,,,,1815,,,,,1835,,,,,1855,,,,,1915,,1905,,,1935,,,,,1955,,,,,2015,2005,,,,2035,,,,,2055,,,,,2117,2106,,,2135,,,,,,,,2155,,,2215,,2235,,2254,2313,,2336,,
西大宮,着,,,,451,502,510,518,527,535,,,549,603,,559,,,,621,607,616,,638,,,631,648,,,,,702,,,653,718,,,711,,,733,,,726,,749,,,,741,,,805,756,,,820,,,,,835,,,849,,,,907,,,,,923,,,,944,,,,1002,,,,1019,,,,1040,,,,1058,,,,1117,,,1137,,,,1157,,,,1217,,,1237,,,,1257,,,,1317,,,1337,,,,1357,,,,1417,,,1437,,,,1457,,,,1517,,,1537,,,,1557,,,,1617,,,,,1637,,,1646,1657,,,,1717,1709,,,,1737,,1729,,,1757,,,,,1817,,,,,1837,,,,,1857,,,,,1917,,1907,,,1937,,,,,1957,,,,,2017,2007,,,,2037,,,,,2057,,,,,2119,2108,,,2137,,,,,,,,2157,,,2217,,2237,,2256,2315,,2338,,
