運用ID,運用番号,出庫,入庫,列車1,列車2,列車3,列車4,列車5,列車6,列車7,列車8,列車9,列車10,列車11,列車12,列車13,列車14,列車15,列車16,列車17,列車18,列車19,列車20,列車21,列車22,列車23,列車24,列車25,列車26,列車27,列車28,列車29,列車30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja01,1,川越車セ,かしわ台 車セ,回送 川越,400K,501K,121M・4600K,3121,6228,228M,125M,3125,回送,相模大塚電留線,回送,3136,136M,269M,6269,6268,268M,273M,6273,6276,276M,281M,6281,回送,,,,,
ja03,3,川越車セ,川越車セ,回送 指扇,402K,503K,702S,803K,902K,1003K,回送 川越車セ,川越車両センター,回送 指扇,1702K,1803K,1802K,1903K,2002K,2203K,回送 川越車セ,,,,,,,,,,,,,
ja05,5,川越車セ,池袋 電留線,回送 指扇,504K,605K,604K,805K,904K,1005K,1104K,1205K,1304K,1305K,1404K,1505K,1604K,1605K,1704K,1805K,2004K,2105K,回送,2305K,2404K,2405K,2474K,,,,,,
ja07,7,川越車セ,川越車セ,回送 指扇,506K,607F,706S,807K,906K,907K,東臨運輸区,1706K,1707K,1806K,2007K,2106K,2107K,回送 川越車セ,,,,,,,,,,,,,,,
ja09,9,川越車セ,川越車セ,回送 指扇,508K,609K,708K,809K,池袋電留線,回送 新宿,1709K,1808K,1909K,1908K,2009K,回送 川越車セ,,,,,,,,,,,,,,,,,
ja11,11,川越車セ,東臨 運輸区,回送 川越,510S,711K,810K,911K,回送 川越車セ,川越車両センター,回送 武蔵浦和,1610K,1711K,1810K,1911S,2110S,回送 東臨運輸区,,,,,,,,,,,,,,,,
ja13,13,川越車セ,池袋 電留線,512K,613K,712K,813S,1012F,1213F,1312F,1513K,1512K,1613K,1812K,1913K,2012K,2113K,2212K,2213K,回送,2313K,2412K,,,,,,,,,,,
ja15,15,川越車セ,川越車セ,回送 指扇,514K,615K,714K,815K,回送 川越車セ,,,,,,,,,,,,,,,,,,,,,,,,
ja17,17,川越車セ,川越車セ,回送,616K,717K,816K,3017K,1016K,1017K,1116K,1117K,3216K,1217K,1216K,1317K,1316K,1417K,1416K,1517K,1516K,1617F,1716S,1917K,回送 川越車セ,,,,,,,,
ja19,19,川越車セ,板橋 電留2番,回送 川越,618S,719K,918K,回送,,,,,,,,,,,,,,,,,,,,,,,,,
ja21,21,川越車セ,川越車セ,回送,620K,721F,820S,921F,1120F,1321K,1320K,1421F,1620F,1721K,1820K,1821K,2020K,2021K,2120K,2321K,回送 川越車セ,,,,,,,,,,,,
ja23,23,川越車セ,川越車セ,回送 川越,622S,823K,回送 川越車セ,,,,,,,,,,,,,,,,,,,,,,,,,,
ja25,25,川越車セ,大宮駅 20番線,回送,624K,725K,824K,825K,924K,1025K,1124K,1125K,1224K,1325K,1424K,1425K,1524K,1625K,1724K,1725K,1824K,1825K,1924K,2025K,2124K,2225K,2324K,2325K,,,,,
ja27,27,川越車セ,板橋 電留1番,回送,626K,827S,1026F,1127F,1326F,1527F,1626S,1827S,2026S,2127S,2326K,,,,,,,,,,,,,,,,,,
