列車番号,,573H,441K,443K,575H,545K,541K,543K,551K,503K,501K,677H,605K,647K,607F,657K,120M,609K,691S,653K,637F,122M,613K,641K,615K,749K,683S,745K,721F,124M,759K,751K,747K,126M,4761S,725K,787F,753K,711K,128M,4763K,755K,815K,785S,220M,4865K,717K,739F,719K,130M,4867K,881K,823K,132M,4869S,889K,825K,805K,134M,4877K,911K,827S,959K,803K,222M,4971K,809K,813S,224M,953K,931K,941F,226M,955K,963K,987K,949F,228M,1003K,943K,937K,983F,1081K,947K,230M,1025K,921F,1005K,232M,1059K,1065F,1087K,234M,1153K,1085F,1137K,1163K,236M,1139F,1125K,1181K,1189F,238M,1159K,1247K,1127F,1253K,240M,1205K,1213F,1263K,1287K,1233F,242M,1281K,1337K,1249F,1347K,244M,1325K,1383F,1305K,1359K,1369F,246M,1387K,1453K,1365F,1437K,248M,1463K,1485F,1425K,1481K,1421F,250M,1459K,1547K,1441F,1553K,252M,1505K,1527F,1563K,1587K,1539F,254M,1581K,1637K,1533F,1647K,256M,1625K,1617F,1605K,136M,1659K,1631K,1683S,1613K,258M,1753K,1737K,1661S,138M,1711K,1649K,1725K,1765S,1771K,1707K,260M,1709K,1785S,1847K,262M,1787K,1803K,1769S,1859K,140M,1763K,1837K,1841S,1831K,1889K,264M,1825K,1827S,1953K,266M,1821K,1909K,1891S,1971K,1805K,268M,1903K,1943S,1947K,142M,1917K,1937K,1939S,2059K,144M,1913K,2025K,1911S,2031K,1933K,270M,2009K,2081S,2053K,146M,2007K,2021K,2087S,148M,2171K,2083K,2163K,2061S,2133K,272M,2085K,2107K,2169S,2137K,274M,2165K,2159K,2141S,276M,2225K,2113K,2203K,2127S,2231K,2105K,2253K,2249K,278M,2265S,2247K,2213K,2243K,2333K,150M,2239K,2305K,2285K,2337K,2313K,2321K,2325K,2469K,2405K
種別,,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,通勤快速,普通,快速,普通,普通,普通,普通,普通,通勤快速,普通,快速,普通,普通,普通,普通,普通,通勤快速,普通,快速,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,南古谷,池袋,池袋,南古谷,池袋,池袋,池袋,池袋,池袋,新宿,南古谷,新宿,池袋,新宿,新宿,海老名,新宿,新宿,新宿,新木場,海老名,新宿,新宿,新宿,新宿,新木場,新宿,新宿,海老名,大崎,新宿,新宿,海老名,新宿,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新木場,新木場,海老名,新宿,新木場,新木場,海老名,新宿,新木場,新宿,新木場,海老名,新宿,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新木場,海老名,新宿,新木場,新木場,海老名,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新木場,新木場,新宿,新木場,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,海老名,新木場,新宿,新宿,新木場,海老名,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,新木場,海老名,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,新木場,海老名,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,新木場,海老名,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,新宿,新木場,海老名,新宿,新宿,新木場,新宿,海老名,新宿,新木場,新宿,海老名,新宿,新宿,新木場,新木場,海老名,新宿,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,海老名,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,新木場,新宿,新木場,海老名,新宿,新木場,新宿,新木場,新宿,海老名,新木場,新宿,新木場,新宿,新宿,新木場,新宿,新宿,池袋
終着駅,,八王子,赤羽,赤羽,拝島,川越,大宮,川越,大宮,川越,大宮,八王子,大宮,武蔵浦和,川越,大宮,新宿,大宮,川越,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,大宮,川越,武蔵浦和,川越,新宿,大宮,武蔵浦和,大宮,新宿,川越,武蔵浦和,川越,大宮,武蔵浦和,新宿,赤羽,大宮,大宮,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,赤羽,大宮,大宮,新宿,川越,武蔵浦和,大宮,大宮,新宿,池袋,大宮,川越,大宮,赤羽,新宿,大宮,池袋,川越,新宿,大宮,池袋,川越,新宿,大宮,大宮,武蔵浦和,川越,新宿,大宮,大宮,武蔵浦和,川越,大宮,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,新宿,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,武蔵浦和,川越,新宿,大宮,武蔵浦和,川越,大宮,新宿,武蔵浦和,川越,大宮,新宿,大宮,大宮,川越,大宮,新宿,大宮,武蔵浦和,川越,新宿,大宮,川越,武蔵浦和,川越,大宮,大宮,新宿,武蔵浦和,川越,大宮,新宿,大宮,武蔵浦和,川越,大宮,新宿,川越,武蔵浦和,川越,大宮,大宮,新宿,武蔵浦和,川越,大宮,新宿,大宮,武蔵浦和,川越,大宮,大宮,新宿,川越,川越,大宮,新宿,大宮,大宮,川越,大宮,新宿,赤羽,大宮,川越,大宮,赤羽,新宿,川越,川越,大宮,新宿,赤羽,大宮,川越,新宿,大宮,赤羽,川越,川越,大宮,新宿,赤羽,川越,川越,大宮,新宿,赤羽,川越,川越,新宿,大宮,赤羽,川越,川越,大宮,赤羽,大宮,川越,新宿,川越,大宮,赤羽,川越,大宮,新宿,川越,赤羽,川越,大宮,赤羽,川越,大宮,大宮,赤羽
羽沢横浜国大,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵小杉,着,515,432,442,544,502,514,532,541,553,600,700,608,615,619,625,608,630,637,640,631,625,651,656,700,705,652,713,719,659,710,729,733,716,739,742,733,751,740,736,801,752,811,800,752,820,808,812,818,814,837,823,830,829,851,837,858,843,841,904,906,855,915,902,858,923,910,914,912,934,923,930,925,948,938,956,947,942,1006,952,956,1004,1023,1014,1009,1033,1018,1043,1026,1053,1045,1104,1047,1112,1102,1122,1132,1114,1124,1142,1152,1142,1137,1202,1213,1204,1222,1208,1232,1224,1242,1253,1242,1238,1302,1312,1302,1322,1308,1332,1324,1342,1352,1342,1338,1404,1412,1402,1422,1408,1431,1424,1442,1453,1443,1438,1502,1512,1505,1522,1508,1532,1524,1542,1552,1542,1538,1603,1612,1605,1622,1608,1632,1623,1642,1628,1651,1700,1645,1652,1648,1711,1720,1710,1708,1730,1717,1739,1725,1748,1737,1728,1759,1749,1808,1747,1757,1818,1803,1826,1808,1818,1837,1829,1847,1834,1831,1856,1841,1905,1847,1856,1916,1907,1926,1914,1910,1937,1925,1947,1930,1940,1958,1947,2007,1949,1953,2017,2007,2026,2012,2014,2037,2024,2047,2029,2034,2057,2048,2044,2107,2056,2117,2105,2126,2108,2119,2138,2126,2147,2128,2138,2157,2146,2146,2207,2156,2216,2205,2227,2213,2237,2226,2221,2249,2238,2300,2248,2312,2253,2303,2327,2319,2342,2347,2337,2357,5,24
武蔵小杉,発,515,432,442,544,502,514,532,541,553,600,700,608,615,619,625,603,630,637,640,631,620,651,656,700,705,652,713,719,654,710,729,733,711,739,742,733,751,740,731,801,752,811,800,747,820,808,812,818,809,837,823,830,824,851,837,858,843,836,904,906,855,915,902,853,923,910,914,907,934,923,930,920,948,938,956,947,937,1006,952,956,1004,1023,1014,1004,1033,1018,1043,1021,1053,1045,1104,1042,1112,1102,1122,1132,1109,1124,1142,1152,1142,1132,1202,1213,1204,1222,1203,1232,1224,1242,1253,1242,1233,1302,1312,1302,1322,1303,1332,1324,1342,1352,1342,1333,1404,1412,1402,1422,1403,1431,1424,1442,1453,1443,1433,1502,1512,1505,1522,1503,1532,1524,1542,1552,1542,1533,1603,1612,1605,1622,1603,1632,1623,1642,1623,1651,1700,1645,1652,1643,1711,1720,1710,1703,1730,1717,1739,1725,1748,1737,1723,1759,1749,1808,1742,1757,1818,1803,1826,1803,1818,1837,1829,1847,1834,1826,1856,1841,1905,1842,1856,1916,1907,1926,1914,1905,1937,1925,1947,1925,1940,1958,1947,2007,1944,1953,2017,2007,2026,2012,2009,2037,2024,2047,2024,2034,2057,2048,2039,2107,2056,2117,2105,2126,2103,2119,2138,2126,2147,2123,2138,2157,2146,2141,2207,2156,2216,2205,2227,2213,2237,2226,2216,2249,2238,2300,2248,2312,2248,2303,2327,2319,2342,2347,2337,2357,5,24
西大井,着,520,437,447,549,507,519,537,546,558,605,705,613,620,624,630,608,635,642,645,636,625,656,701,705,710,657,718,724,659,715,734,738,716,744,747,738,756,745,736,806,757,816,805,752,825,813,817,823,814,842,828,835,829,856,842,903,848,841,909,911,900,920,907,858,928,915,919,912,939,928,935,925,953,943,1001,952,942,1011,957,1001,1009,1028,1019,1009,1038,1023,1048,1026,1058,1050,1109,1047,1117,1107,1127,1137,1114,1129,1147,1157,1147,1137,1207,1218,1209,1227,1208,1237,1229,1247,1258,1247,1238,1307,1317,1307,1327,1308,1337,1329,1347,1357,1347,1338,1409,1417,1407,1427,1408,1436,1429,1447,1458,1448,1438,1507,1517,1510,1527,1508,1537,1529,1547,1557,1547,1538,1608,1617,1610,1627,1608,1637,1628,1647,1628,1656,1705,1650,1657,1648,1716,1725,1715,1708,1735,1722,1744,1730,1753,1742,1728,1804,1754,1813,1747,1802,1823,1808,1831,1808,1823,1842,1834,1852,1839,1831,1901,1846,1910,1847,1901,1921,1912,1931,1919,1910,1942,1930,1952,1930,1945,2003,1952,2012,1949,1958,2022,2012,2031,2017,2014,2042,2029,2052,2029,2039,2102,2053,2044,2112,2101,2122,2110,2131,2108,2124,2143,2131,2152,2128,2143,2202,2151,2146,2212,2201,2221,2210,2232,2218,2242,2231,2221,2254,2243,2305,2253,2317,2253,2308,2332,2324,2347,2352,2342,2,10,29
西大井,発,520,437,447,549,507,519,537,546,558,605,705,613,620,624,630,609,635,642,645,636,626,656,701,705,710,657,718,724,659,715,734,738,716,744,747,738,756,745,737,806,757,816,805,753,825,813,817,823,814,842,828,835,829,856,842,903,848,841,909,911,900,920,907,859,928,915,919,913,939,928,935,925,953,943,1001,952,942,1011,957,1001,1009,1028,1019,1010,1038,1023,1048,1026,1058,1050,1109,1048,1117,1107,1127,1137,1115,1129,1147,1157,1147,1138,1207,1218,1209,1227,1208,1237,1229,1247,1258,1247,1239,1307,1317,1307,1327,1309,1337,1329,1347,1357,1347,1339,1409,1417,1407,1427,1409,1436,1429,1447,1458,1448,1439,1507,1517,1510,1527,1509,1537,1529,1547,1557,1547,1539,1608,1617,1610,1627,1609,1637,1628,1647,1629,1656,1705,1650,1657,1648,1716,1725,1715,1709,1735,1722,1744,1730,1753,1742,1729,1804,1754,1813,1747,1802,1823,1808,1831,1808,1823,1842,1834,1852,1839,1832,1901,1846,1910,1847,1901,1921,1912,1931,1919,1911,1942,1930,1952,1930,1945,2003,1952,2012,1949,1958,2022,2012,2031,2017,2015,2042,2029,2052,2030,2039,2102,2053,2045,2112,2101,2122,2110,2131,2108,2124,2143,2131,2152,2129,2143,2202,2151,2147,2212,2201,2221,2210,2232,2218,2242,2231,2222,2254,2243,2305,2253,2317,2253,2308,2332,2324,2347,2352,2342,2,10,29
大崎,着,523,440,450,552,510,522,540,549,601,608,708,616,623,627,633,612,638,645,648,628,631,659,704,708,713,649,721,727,703,718,737,741,720,747,750,730,759,737,740,809,749,819,757,757,828,805,809,815,818,845,820,827,833,859,834,906,840,845,912,914,852,923,859,903,931,907,911,917,942,920,927,929,956,935,1004,944,946,1014,949,953,1001,1031,1011,1014,1041,1015,1051,1030,1101,1042,1112,1052,1120,1059,1130,1140,1119,1121,1150,1200,1139,1142,1210,1221,1201,1230,1212,1240,1221,1250,1301,1239,1242,1310,1320,1259,1330,1312,1340,1321,1350,1400,1339,1343,1412,1420,1359,1430,1412,1439,1421,1450,1501,1440,1442,1510,1520,1502,1530,1512,1540,1521,1550,1600,1539,1544,1611,1620,1602,1630,1612,1640,1620,1650,1633,1659,1708,1642,1649,1652,1719,1728,1707,1713,1738,1714,1747,1722,1756,1734,1734,1807,1746,1816,1752,1754,1826,1800,1834,1812,1815,1845,1826,1855,1831,1836,1904,1838,1913,1852,1853,1924,1904,1934,1911,1915,1945,1922,1955,1934,1937,2006,1944,2015,1953,1950,2025,2004,2034,2009,2018,2045,2021,2055,2034,2031,2105,2045,2050,2115,2053,2125,2102,2134,2112,2116,2146,2123,2155,2132,2135,2205,2143,2150,2215,2153,2224,2202,2235,2210,2245,2223,2225,2257,2235,2308,2245,2320,2257,2300,2335,2316,2350,2355,2334,5,13,32
