列車番号,,2821Y,2521Y,2823Y,2523Y,2825Y,2525Y,2827Y,2527Y,4821Y,2529Y,2829Y,2531Y,4823Y,2831Y,4521Y,2833Y,2533Y,4825Y,4523Y,2835Y,2535Y,4827Y,4525Y,2837Y,2537Y,4829Y,4527Y,2839Y,2539Y,4831Y,4529Y,2841Y,2541Y,4833Y,4531Y,2843Y,2543Y,4835Y,4533Y,2845Y,2545Y,4837Y,1082M,4535Y,2847Y,2547Y,2849Y,4537Y,2851Y,1094M,2549Y,2853Y,2551Y,2855Y,2553Y,2857Y,2555Y,2859Y,2557Y,2861Y,2559Y,2561Y,2863Y,2563Y,2865Y,2867Y
種別,,快速,普通,快速,普通,快速,普通,快速,普通,特別快速,普通,快速,普通,特別快速,快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,快速,快速,普通,特別快速,特急,快速,快速,普通,快速,快速,快速,特急,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,普通,快速,普通,快速,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,籠原,宇都宮,籠原,宇都宮,前橋,小金井,高崎,宇都宮,高崎,小金井,高崎,小金井,高崎,前橋,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,小金井,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,鬼怒川温泉,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,東武日光,宇都宮,高崎,古河,籠原,宇都宮,高崎,古河,籠原,小金井,高崎,宇都宮,小金井,籠原,宇都宮,籠原,高崎
終着駅,,小田原,大船,平塚,大船,小田原,逗子,国府津,逗子,小田原,逗子,小田原,逗子,小田原,国府津,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,新宿,逗子,平塚,逗子,小田原,逗子,国府津,新宿,逗子,平塚,大船,平塚,逗子,小田原,逗子,国府津,大船,小田原,大船,逗子,小田原,大船,小田原,国府津
,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
池袋,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
池袋,発,634,710,730,743,754,807,813,839,846,904,926,943,953,959,1009,1024,1039,1053,1109,1124,1139,1154,1209,1224,1238,1253,1309,1324,1338,1353,1409,1424,1439,1453,1509,1524,1539,1553,1609,1623,1638,1653,1703,1710,1727,1742,1754,1812,1824,1830,1844,1902,1914,1925,1937,1959,2011,2023,2037,2059,2114,2137,2153,2219,2235,2252
新宿,着,639,715,735,748,759,812,818,844,851,909,932,948,959,1004,1014,1029,1044,1058,1114,1129,1144,1159,1214,1230,1243,1258,1314,1329,1343,1358,1414,1429,1444,1458,1514,1529,1544,1559,1614,1629,1643,1658,1709,1715,1732,1748,1759,1817,1829,1835,1849,1908,1919,1930,1942,2004,2017,2028,2042,2104,2119,2143,2158,2224,2240,2257
新宿,発,640,716,736,749,800,813,819,845,852,913,933,950,1000,1005,1016,1030,1045,1100,1115,1130,1145,1200,1215,1231,1245,1300,1315,1330,1345,1400,1415,1430,1445,1500,1515,1530,1545,1600,1615,1630,1645,1700,,1716,1733,1749,1800,1818,1830,,1850,1909,1920,1931,1943,2005,2020,2030,2043,2105,2121,2144,2200,2225,2243,2258
