列車番号,,2820Y,2520Y,2822Y,2522Y,2824Y,2524Y,2826Y,2526Y,4520Y,1091M,2828Y,2528Y,4820Y,1083M,4522Y,2530Y,2830Y,4524Y,4822Y,2532Y,2832Y,4526Y,4824Y,2534Y,2834Y,4528Y,4826Y,2536Y,2836Y,4530Y,4828Y,2538Y,2838Y,4532Y,4830Y,2540Y,2840Y,4534Y,4832Y,2542Y,2842Y,4536Y,4834Y,2544Y,2844Y,2546Y,2846Y,2548Y,2848Y,2550Y,2850Y,2852Y,2552Y,2854Y,2554Y,2856Y,2858Y,2556Y,2860Y,2558Y,2862Y,2560Y,2864Y,2562Y,2868Y,2870Y
種別,,快速,普通,快速,普通,快速,普通,快速,普通,快速,特急,快速,普通,特別快速,特急,快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,普通,快速,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,国府津,大船,国府津,逗子,小田原,大船,小田原,大船,大船,新宿,小田原,大船,平塚,新宿,逗子,逗子,国府津,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,国府津,逗子,平塚,逗子,小田原,国府津,逗子,小田原,逗子,平塚,逗子,平塚,逗子,国府津,国府津
終着駅,,高崎,宇都宮,籠原,宇都宮,籠原,小金井,高崎,小金井,宇都宮,東武日光,籠原,宇都宮,高崎,鬼怒川温泉,宇都宮,小金井,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,小金井,籠原,宇都宮,高崎,古河,籠原,宇都宮,高崎,宇都宮,籠原,小金井,高崎,小金井,籠原,宇都宮,籠原,高崎,小金井,籠原,宇都宮,籠原,前橋,小金井,高崎,小金井,高崎,小金井,籠原,小金井,籠原,籠原
藤沢,発,605,,641,,732,,751,,,,844,,922,,,,957,,1029,,1057,,1129,,1158,,1229,,1256,,1329,,1357,,1430,,1457,,1529,,1556,,1629,,1658,,1729,,1757,,1818,1831,,1859,,1923,1943,,2014,,2046,,2126,,2207,2240
武蔵小杉,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵小杉,発,637,700,716,742,804,817,828,847,902,,916,931,953,,1012,1024,1030,1046,1100,1115,1127,1146,1200,1215,1230,1246,1300,1315,1327,1345,1359,1415,1427,1445,1500,1515,1527,1545,1600,1615,1627,1646,1700,1715,1730,1747,1800,1813,1830,1846,1855,1902,1915,1930,1946,2002,2016,2029,2047,2100,2120,2139,2203,2219,2238,2311
西大井,着,,705,,747,,822,,852,,,,936,,,,1029,,,,1120,,,,1220,,,,1320,,,,1420,,,,1520,,,,1620,,,,1720,,1752,,1818,,1851,,,1920,,1951,,,2034,,2105,,2144,,2224,,
西大井,発,レ642,706,レ721,748,レ809,822,レ833,853,レ907,,レ921,936,レ958,,レ1017,1029,レ1035,レ1051,レ1105,1121,レ1132,レ1151,レ1205,1221,レ1235,レ1251,レ1305,1321,レ1332,レ1350,レ1404,1421,レ1432,レ1450,レ1505,1521,レ1532,レ1550,レ1605,1621,レ1632,レ1651,レ1705,1720,レ1735,1753,レ1805,1819,レ1835,1852,レ1900,レ1907,1920,レ1935,1952,レ2007,レ2021,2035,レ2052,2105,レ2125,2144,レ2208,2225,レ2243,レ2316
大崎,着,645,709,724,751,812,825,836,856,910,,924,939,1001,,1020,1032,1038,1054,1108,1124,1135,1154,1208,1224,1238,1254,1308,1324,1335,1353,1407,1424,1435,1453,1508,1524,1535,1553,1608,1624,1635,1654,1708,1723,1738,1756,1808,1822,1838,1855,1903,1910,1923,1938,1955,2010,2024,2038,2055,2108,2128,2147,2211,2228,2246,2319
大崎,発,646,710,725,755,812,827,837,857,912,,925,942,1003,,1023,1034,1039,1056,1109,1125,1136,1155,1209,1225,1239,1256,1309,1325,1337,1356,1408,1425,1436,1455,1509,1525,1536,1555,1610,1625,1636,1656,1711,1724,1739,1757,1811,1823,1840,1856,1905,1911,1926,1939,1956,2012,2025,2039,2056,2110,2130,2148,2212,2230,2248,2320
恵比寿,着,649,713,728,758,815,830,840,900,915,,928,945,,,1026,1037,1042,1059,,1128,1139,1158,,1228,1242,1259,,1328,1340,1359,,1428,1439,1458,,1528,1539,1558,,1628,1639,1659,,1727,1742,1800,1814,1826,1843,1859,1908,1914,1929,1942,1959,2015,2028,2042,2059,2113,2133,2151,2215,2233,2251,2323
恵比寿,発,650,714,730,759,817,831,841,901,916,,929,946,レ1006,,1028,1038,1043,1100,レ1112,1129,1141,1159,レ1212,1229,1243,1300,レ1312,1329,1341,1400,レ1411,1429,1440,1459,レ1512,1529,1540,1559,レ1613,1630,1640,1700,レ1714,1728,1743,1802,1815,1827,1844,1901,1909,1916,1930,1943,2000,2016,2029,2043,2101,2114,2134,2153,2216,2234,2252,2325
