列車番号,,2820Y,2520Y,2822Y,3092M,2522Y,2824Y,2524Y,2826Y,3094M,2526Y,2828Y,2828Y,2528Y,3096M,4520Y,2830Y,1091M,2530Y,2532Y,4820Y,1083M,4522Y,2534Y,2832Y,4524Y,4822Y,2536Y,2834Y,4526Y,4824Y,2538Y,2836Y,4528Y,4826Y,2540Y,2838Y,4530Y,4828Y,2542Y,2840Y,4532Y,4830Y,2544Y,2842Y,4534Y,4832Y,2546Y,2844Y,4536Y,4834Y,2548Y,2846Y,2550Y,2848Y,2552Y,2850Y,2554Y,2852Y,2854Y,2556Y,2856Y,2558Y,2858Y,2560Y,2860Y,2862Y,2562Y,2864Y,2866Y,2564Y,2868Y,2566Y,2870Y
種別,,快速,普通,快速,特急,普通,快速,普通,快速,特急,普通,快速,快速,普通,特急,快速,快速,特急,普通,普通,特別快速,特急,快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,快速,特別快速,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,普通,快速,普通,快速,快速,普通,快速,快速,普通,快速,普通,快速
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,国府津,大船,国府津,小田原,逗子,国府津,大船,小田原,小田原,逗子,小田原,小田原,逗子,小田原,大船,平塚,新宿,大船,大船,平塚,新宿,大船,逗子,平塚,逗子,小田原,大船,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,逗子,国府津,逗子,小田原,逗子,平塚,逗子,小田原,逗子,平塚,逗子,小田原,小田原,逗子,平塚,逗子,小田原,逗子,国府津,小田原,逗子,小田原,国府津,逗子,平塚,大船,国府津
終着駅,,高崎,小金井,籠原,新宿,小金井,高崎,宇都宮,籠原,新宿,小金井,高崎,高崎,小金井,新宿,宇都宮,籠原,東武日光,宇都宮,古河,高崎,鬼怒川温泉,宇都宮,小金井,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,宇都宮,籠原,宇都宮,高崎,古河,籠原,宇都宮,高崎,小金井,籠原,宇都宮,高崎,小金井,籠原,古河,籠原,籠原,宇都宮,前橋,古河,籠原,古河,前橋,籠原,宇都宮,籠原,高崎,小金井,高崎,小金井,籠原
藤沢,発,605,,641,654,,708,,726,745,,744,744,,811,,823,,,,915,,,,957,,1029,,1057,,1129,,1158,,1229,,1256,,1329,,1357,,1430,,1457,,1529,,1556,,1629,,1657,,1729,,1757,,1818,1831,,1859,,1925,,2001,2016,,2047,2106,,2138,,2240
武蔵小杉,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武蔵小杉,発,637,700,716,レ724,737,745,755,803,レ815,816,821,821,831,レ841,848,902,,916,931,948,,1009,1024,1030,1047,1100,1115,1127,1145,1200,1215,1228,1246,1300,1315,1327,1345,1359,1415,1427,1445,1500,1515,1527,1545,1600,1614,1627,1645,1700,1717,1730,1747,1800,1813,1830,1846,1852,1902,1915,1932,1946,2000,2016,2034,2048,2100,2120,2138,2152,2208,2240,2311
西大井,着,,705,,,742,,800,,,821,,,836,,,,,921,936,,,,1029,,,,1120,,,,1220,,,,1320,,,,1420,,,,1520,,,,1619,,,,1722,,1752,,1818,,1851,,,1920,,1951,,2021,,,2105,,,2157,,2245,
西大井,発,レ642,705,レ721,レ729,742,レ750,800,レ808,レ820,821,レ826,レ826,836,レ846,レ853,レ907,,921,937,レ953,,レ1014,1029,レ1035,レ1052,レ1105,1121,レ1132,レ1150,レ1205,1221,レ1233,レ1251,レ1305,1321,レ1332,レ1350,レ1404,1421,レ1432,レ1450,レ1505,1521,レ1532,レ1550,レ1605,1620,レ1632,レ1650,レ1705,1722,レ1735,1752,レ1805,1819,レ1835,1851,レ1857,レ1907,1920,レ1937,1952,レ2005,2021,レ2039,レ2053,2106,レ2125,レ2143,2158,レ2213,2245,レ2316
