列車番号,,1000F,1006F,1016F,1040K,1048K,1088T,1110K,1118F,1136F,1140K,1150K,1182F,1188T,1216K,1240K,1250K,1266K,1268F,1280F,1286F,1306F,1310F,1316K,1336K,1348F,1366K,1388T,1400F,1418K,1440F,1468K,1482F,1488T,1506K,1536K,1550F,1566F,1568K,1580F,1588T,1600K,1604K,1606K,1610K,1616F,1638K,1648F,1656K,1686F,1688T,1718F,1736F,1740K,1754K,1762K,1782F,1788T,1810F,1848K,1854K,1856K,1868F,1880F,1888T,1906F,1916F,1938F,1940K,1944K,1954K,1956K,1988T,2004F,2018F,2062F,2068K,2080T,2088T,2110F,2138K,2140K,2148F,2156F,2180T,2188T,2204K,2280T,2282K,2286K,2288T,2310K,2480T,2486T,3418K,506F,580T,582T,584T,686T,600K,610K,612F,636K,636T,638K,642F,644F,650K,680T,682T,684T,688T,704F,706K,716K,718K,752K,784T,790F,800K,810K,836K,840F,844K,848F,852K,880F,882K,888K,918K,950F,966F,968K,986F,990T
種別,,快速,快速,快速,普通,普通,普通,普通,快速,快速,普通,普通,快速,普通,普通,普通,普通,普通,快速,快速,快速,快速,快速,普通,普通,快速,普通,普通,快速,普通,快速,普通,快速,普通,普通,普通,快速,快速,普通,快速,普通,普通,普通,普通,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,普通,普通,快速,普通,快速,普通,普通,普通,快速,快速,普通,快速,快速,快速,普通,普通,普通,普通,普通,快速,快速,快速,普通,普通,普通,快速,普通,普通,快速,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,快速,普通,快速,普通,普通,普通,快速,快速,普通,快速,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,川越,川越,川越,大崎,大崎,大崎,大崎,川越,川越,大崎,大崎,川越,大崎,大崎,大崎,大崎,大崎,川越,川越,川越,川越,川越,大崎,大崎,川越,大崎,大崎,川越,大崎,川越,大崎,川越,大崎,大崎,大崎,川越,川越,大崎,川越,大崎,大崎,大宮,大崎,大崎,川越,大宮,川越,池袋,川越,大崎,川越,川越,大崎,武蔵浦和,大宮,川越,大崎,川越,大崎,大崎,大崎,川越,川越,大崎,川越,川越,川越,大宮,武蔵浦和,大崎,大崎,大崎,川越,川越,川越,大崎,大崎,大崎,川越,大崎,大崎,川越,川越,大崎,大崎,大崎,大崎,大宮,大宮,大崎,大崎,大崎,大崎,大崎,川越,大崎,東京テレポート,東京テレポート,東京テレポート,大宮,,川越,大崎,大崎,東京テレポート,川越,川越,大宮,大崎,大崎,大崎,東京テレポート,川越,大崎,,,武蔵浦和,大崎,川越,大崎,大宮,大宮,川越,大崎,川越,大崎,川越,大宮,大宮,大崎,川越,川越,武蔵浦和,川越,大崎
終着駅,,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,東京テレポート,東京テレポート,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場
大崎,発,1159,1118,1138,1029,1053,1045,1111,1303,1240,1129,1142,1218,1152,1246,1229,1256,1209,1338,1317,1400,1439,1500,1352,1345,1418,1327,1310,1518,1407,1600,1445,1539,1428,1533,1510,1621,1659,1550,1638,1527,1615,1755,1649,1606,1717,1733,1801,1708,1739,1630,1818,1839,1722,1747,1833,1859,1728,1937,1853,1847,1809,1918,2002,1826,2023,2038,2059,2012,1946,1954,1909,1928,2120,2140,2201,2016,2049,2031,2301,2153,2108,2221,2243,2133,2126,2231,2252,2313,2329,2212,2347,1,18,1452,658,539,,,,734,706,743,627,647,,801,725,717,635,604,616,,901,755,808,830,748,711,838,824,952,911,919,816,945,844,1000,853,929,923,1037,1100,1011,1023,939
大井町,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大井町,発,1203,1121,1141,1032,1056,1048,1114,1306,1243,1132,1146,1221,1155,1249,1232,1259,1212,1341,1320,1403,1442,1503,1355,1348,1421,1330,1313,1521,1411,1603,1448,1542,1431,1537,1513,1625,1703,1553,1641,1530,1618,1758,1652,1609,1721,1737,1804,1711,1742,1634,1822,1842,1725,1750,1837,1903,1731,1941,1856,1850,1812,1921,2005,1830,2026,2042,2102,2015,1949,1957,1913,1931,2123,2143,2204,2020,2052,2034,2304,2156,2111,2224,2246,2137,2129,2234,2255,2316,2333,2216,2350,5,21,1455,701,542,,,,737,709,746,630,651,,805,728,721,638,607,619,,904,758,811,833,751,715,841,828,955,915,922,819,948,847,1004,857,933,926,1041,1103,1014,1026,943
品川シーサイド,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川シーサイド,発,1205,1124,1144,1035,1059,1051,1117,1309,1246,1135,1148,1224,1158,1252,1235,1302,1215,1344,1323,1406,1445,1506,1358,1351,1424,1333,1316,1524,1413,1606,1451,1545,1434,1539,1516,1627,1705,1556,1644,1533,1621,1801,1655,1612,1723,1739,1807,1714,1745,1636,1824,1845,1728,1753,1839,1905,1734,1943,1859,1853,1815,1924,2008,1832,2029,2044,2105,2018,1952,2000,1915,1934,2126,2146,2207,2022,2055,2037,2307,2159,2114,2227,2249,2139,2132,2237,2258,2319,2335,2218,2353,7,24,1458,704,545,,,,740,712,749,633,653,,807,731,723,641,610,622,,907,801,814,836,754,717,844,830,958,917,925,822,951,850,1006,859,935,929,1043,1106,1017,1029,945
