列車番号,,1011K,1041K,1049K,1069F,1081F,1087F,1089T,1091T,1107F,1141K,1149F,1151K,1167K,1189T,1201F,1211F,1217K,1251K,1267K,1283F,1289T,1317K,1319K,1337K,1341F,1351F,1381F,1389T,1417F,1419K,1437K,1467F,1469K,1487F,1489T,1501K,1507K,1511K,1519F,1537F,1549F,1569K,1589T,1601K,1607K,1611F,1641K,1669F,1683F,1689T,1707F,1717F,1739F,1741K,1751K,1757K,1767K,1781F,1789T,1805F,1819F,1849K,1855K,1857K,1863F,1887K,1889T,1937K,1949F,1955K,1957F,1969K,1983K,1989T,2011F,2041K,2045K,2055F,2069F,2081T,2089T,2105K,2107F,2117F,2139K,2141F,2181T,2189T,2289T,2219K,2239K,2249K,2263K,2281T,2305K,2311K,2357K,2381T,2387T,3637K,581T,583T,585T,637K,639K,681F,681T,683K,685T,687T,707K,711K,745K,751F,785K,787F,789K,801K,807F,813K,817F,819K,843K,845K,853K,901F,905K,919F,937F,941K,953K,983F,991T
種別,,普通,普通,普通,快速,快速,快速,普通,普通,快速,普通,快速,普通,普通,普通,快速,快速,普通,普通,普通,快速,普通,普通,普通,普通,快速,快速,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,普通,普通,快速,快速,快速,普通,普通,普通,普通,快速,普通,快速,快速,普通,快速,快速,快速,普通,普通,普通,普通,快速,普通,快速,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,快速,普通,普通,普通,快速,普通,普通,快速,快速,普通,普通,普通,快速,快速,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,普通,普通,普通,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,普通,普通,快速,普通,快速,快速,普通,普通,快速,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,東京テレポート,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場
終着駅,,大崎,大崎,大崎,川越,川越,川越,大崎,東京テレポート,川越,大崎,川越,大崎,大崎,大崎,川越,川越,大崎,大崎,大崎,川越,大崎,大崎,大崎,大崎,川越,川越,川越,大崎,川越,大崎,大崎,川越,大崎,川越,大崎,大崎,大崎,大崎,川越,川越,川越,大崎,大崎,大宮,大崎,川越,大崎,川越,川越,大崎,川越,川越,川越,大宮,大宮,大崎,川越,川越,大崎,川越,川越,大崎,大崎,大崎,川越,大宮,大崎,大宮,川越,大崎,川越,大崎,武蔵浦和,大崎,川越,大崎,大宮,川越,川越,大崎,大崎,大崎,川越,川越,大崎,川越,大崎,大崎,東京テレポート,赤羽,川越,川越,大宮,大崎,東京テレポート,大崎,川越,大崎,大崎,大崎,大崎,大崎,大崎,大宮,武蔵浦和,川越,大崎,大宮,大崎,大崎,大崎,大宮,大崎,川越,大宮,川越,大宮,大崎,川越,池袋,川越,大崎,大宮,大宮,大崎,川越,大宮,川越,川越,大崎,池袋,川越,大崎
新木場,発,1031,1051,1013,1043,1022,1057,1007,1001,1140,1151,1121,1106,1132,1114,1222,1200,1207,1214,1249,1240,1230,1312,1329,1307,1300,1321,1339,1348,1420,1430,1414,1400,1407,1439,1450,1546,1507,1530,1520,1540,1500,1514,1553,1647,1610,1639,1630,1620,1602,1654,1718,1742,1759,1748,1707,1734,1726,1700,1753,1823,1840,1831,1815,1845,1859,1807,1853,1903,1922,1913,1939,1948,1930,1956,2002,2036,2011,2018,2042,2027,2053,2156,2102,2120,2128,2140,2111,2148,2245,2202,2221,2255,2237,2209,2305,2322,2314,2337,2354,603,,539,549,651,632,659,608,645,638,620,722,730,754,739,746,716,709,803,821,810,837,852,828,844,816,900,925,956,936,945,907,919,913
東雲,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東雲,発,1034,1054,1015,1046,1025,1100,1010,1004,1142,1153,1123,1108,1135,1116,1224,1202,1209,1216,1252,1243,1233,1315,1332,1309,1303,1323,1342,1351,1423,1433,1416,1403,1410,1441,1452,1549,1509,1533,1523,1543,1503,1516,1556,1649,1613,1641,1632,1622,1604,1656,1720,1744,1802,1750,1709,1736,1728,1703,1756,1825,1843,1834,1817,1848,1901,1809,1856,1906,1925,1916,1942,1951,1932,1959,2005,2039,2013,2021,2044,2029,2055,2158,2104,2123,2131,2143,2113,2151,2248,2204,2224,2257,2239,2212,2307,2325,2317,2340,2356,605,,542,552,654,635,702,610,648,640,623,725,733,757,742,749,719,712,805,823,813,840,855,831,847,819,903,928,958,938,948,910,921,916
国際展示場,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国際展示場,発,1036,1056,1018,1048,1027,1102,1012,1006,1145,1156,1126,1111,1137,1119,1227,1205,1212,1219,1254,1245,1235,1317,1334,1312,1305,1326,1344,1353,1425,1435,1419,1405,1412,1444,1455,1551,1512,1535,1525,1545,1505,1519,1558,1652,1615,1644,1635,1625,1607,1659,1723,1747,1804,1753,1712,1739,1731,1705,1758,1828,1845,1836,1820,1850,1904,1812,1858,1908,1927,1918,1944,1953,1935,2001,2007,2041,2016,2023,2047,2032,2058,2201,2107,2125,2133,2145,2116,2153,2250,2207,2226,2300,2242,2214,2310,2327,2319,2342,2359,608,,544,554,656,637,704,613,650,643,625,727,735,759,744,751,721,714,808,826,815,842,857,833,849,821,905,930,1001,941,950,912,924,918
