列車番号,,1012F,1016K,1026F,1032K,1040F,1060K,1088T,1116K,1120F,1132K,1148F,1160K,1168K,1182F,1216K,1238F,1260K,1264F,1268K,1284F,1312F,1316K,1320K,1326F,1340K,1360K,1388F,1416K,1432F,1438K,1440K,1448F,1460K,1482F,1512K,1516K,1560K,1564F,1568F,1584F,1588T,1620F,1626S,1638T,1640F,1640T,1648K,1660K,1662K,1686K,1688T,1690T,1704K,1706K,1716S,1732S,1738S,1742K,1768K,1780K,1788T,1790T,1806K,1810K,1812K,1820K,1848K,1860S,1864S,1880T,1882S,1890T,1932K,1938K,1940S,1968S,1980T,1984S,1986K,1988K,2004K,2012K,2026S,2042S,2046K,2060K,2064K,2082T,2090S,2110S,2120K,2138S,2148K,2180K,2182K,2184K,2270K,2286K,2370K,2480T,2486T,638K,3216K,510S,580T,582T,584T,604K,616K,618S,622S,626K,636T,642S,654K,680T,682T,684T,686T,688T,702S,706S,708K,712K,730K,732K,736S,738K,738T,740K,780T,784T,788T,790S,816K,820S,846K,848K,860S,862K,882S,906K,932K,938S,942K,964K,968F,984S,988K
種別,,快速,普通,快速,普通,快速,普通,普通,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,快速,普通,快速,快速,普通,普通,快速,普通,普通,快速,普通,快速,普通,普通,快速,普通,快速,普通,普通,普通,快速,快速,快速,普通,快速,通勤快速,普通,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,通勤快速,通勤快速,通勤快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通勤快速,通勤快速,普通,通勤快速,普通,普通,普通,通勤快速,通勤快速,普通,通勤快速,普通,普通,普通,普通,通勤快速,通勤快速,普通,普通,普通,普通,通勤快速,通勤快速,普通,通勤快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,通勤快速,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,通勤快速,通勤快速,普通,普通,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,通勤快速,普通,通勤快速,普通,普通,通勤快速,普通,通勤快速,普通,普通,通勤快速,普通,普通,快速,通勤快速,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,川越,大崎,川越,大崎,川越,大崎,大崎,大崎,川越,大崎,川越,大崎,大崎,川越,大崎,川越,大崎,川越,大崎,川越,川越,大崎,大崎,川越,大崎,大崎,川越,大崎,川越,大崎,大崎,川越,大崎,川越,大崎,大崎,大崎,川越,川越,川越,大崎,川越,川越,大崎,川越,大崎,大崎,大崎,大宮,武蔵浦和,大崎,東京テレポート,大宮,東京テレポート,川越,川越,川越,,大崎,大宮,大崎,大崎,大宮,大宮,大宮,大崎,川越,川越,川越,大崎,川越,大崎,大崎,大崎,川越,川越,大崎,川越,大宮,大宮,大宮,赤羽,川越,川越,大宮,大崎,大崎,大崎,川越,川越,大宮,川越,大崎,川越,赤羽,赤羽,大宮,川越,大崎,大崎,大崎,東京テレポート,大崎,川越,大崎,東京テレポート,東京テレポート,大宮,,川越,川越,,大崎,川越,大宮,大崎,大崎,大崎,東京テレポート,東京テレポート,川越,川越,大宮,大宮,,,川越,大崎,大崎,大宮,大崎,大崎,大崎,川越,武蔵浦和,川越,大宮,大宮,川越,赤羽,川越,大崎,大崎,川越,大崎,大宮,川越,川越,武蔵浦和
終着駅,,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,東京テレポート,東京テレポート,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場
大崎,発,1138,1025,1118,1047,1200,1031,1056,1112,1302,1144,1218,1128,1150,1237,1251,1400,1227,1318,1245,1337,1500,1347,1353,1437,1309,1329,1417,1445,1518,1454,1410,1542,1427,1601,1549,1534,1525,1639,1617,1703,1509,1721,1755,1657,1742,1645,1631,1623,1728,1708,1607,,1828,,1855,1834,1815,1841,1713,1802,1748,1735,1947,1923,1908,1811,2028,1933,1954,1848,1914,1822,1927,1901,2056,2036,1940,2015,2003,2042,2127,2104,2114,2153,2143,2021,2048,2009,2135,2234,2244,2214,2119,2310,2204,2224,2258,2325,2347,1,18,,1208,655,539,,,758,722,733,745,809,646,803,707,633,604,618,,,816,832,822,827,836,855,908,728,752,842,739,716,701,845,939,932,925,859,945,851,913,920,953,1037,903,959,1102,1018,1007
大井町,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大井町,発,1141,1028,1121,1050,1203,1035,1059,1115,1305,1147,1221,1131,1153,1241,1255,1403,1231,1321,1249,1341,1503,1350,1357,1441,1313,1333,1421,1449,1521,1457,1413,1545,1430,1604,1552,1537,1528,1642,1621,1706,1512,1724,1758,1700,1746,1648,1634,1626,1731,1712,1610,,1831,,1859,1838,1819,1844,1716,1805,1752,1739,1950,1926,1911,1814,2031,1937,1957,1851,1918,1826,1931,1904,2059,2039,1943,2018,2006,2045,2130,2107,2118,2157,2146,2024,2051,2012,2138,2237,2247,2218,2122,2313,2207,2228,2301,2329,2350,5,21,,1211,658,542,,,801,726,737,749,813,649,807,711,636,608,621,,,819,835,826,830,840,859,911,731,756,845,742,719,704,849,943,935,929,903,949,854,917,924,957,1041,907,1003,1105,1021,1010
品川シーサイド,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川シーサイド,発,1144,1031,1124,1053,1206,1037,1102,1118,1308,1150,1224,1134,1156,1243,1257,1406,1233,1324,1251,1343,1506,1353,1359,1443,1315,1335,1423,1451,1524,1500,1416,1548,1433,1607,1555,1540,1531,1645,1623,1709,1515,1727,1801,1703,1748,1651,1637,1629,1734,1714,1613,,1834,,1901,1840,1821,1847,1719,1808,1754,1741,1953,1929,1914,1817,2034,1939,2000,1854,1920,1828,1933,1907,2102,2042,1946,2021,2009,2048,2133,2110,2120,2159,2149,2027,2054,2015,2141,2240,2250,2220,2125,2316,2210,2230,2304,2331,2353,7,24,,1214,701,545,,,804,728,740,752,816,652,809,713,639,610,624,,,822,838,829,833,843,901,914,734,758,848,745,722,707,852,946,938,931,905,952,857,920,927,959,1043,910,1005,1108,1024,1013
