列車番号,,1017K,1033K,1061K,1065F,1085F,1089T,1117K,1127F,1133K,1139F,1161K,1169K,1189F,1213F,1217K,1233F,1241K,1249F,1261K,1269K,1317K,1321K,1341K,1361K,1365F,1369F,1383F,1417K,1421F,1439K,1441F,1461K,1485F,1489T,1513K,1517K,1527F,1533F,1539F,1561K,1589T,1613K,1617F,1649K,1661S,1669K,1683S,1689T,1691T,1707K,1721K,1763K,1765S,1769S,1785S,1787K,1789T,1791T,1805K,1821K,1827S,1833K,2283T,1839K,1841S,1881T,1889K,1891S,1891T,1911S,1913K,1917K,1933K,1939S,1943S,1961K,1981T,1983T,2007K,2049K,2061S,2065K,2081S,2083K,2085K,2087S,2105K,2113K,2127S,2141S,2165K,2169S,2189T,2191T,2239K,2243K,2247K,2249K,2285K,2321K,2371K,2381T,2387T,3017K,3061K,3649K,581T,583T,585T,637F,639K,681T,683S,685T,687T,689T,711K,717K,719K,739F,755K,781T,785S,787F,789T,803K,805K,807K,809K,813S,823K,827S,843K,881K,889K,907K,921F,931K,933K,937K,941F,943K,947K,949F,963K,983F,991T
種別,,普通,普通,普通,快速,快速,普通,普通,快速,普通,快速,普通,普通,快速,快速,普通,快速,普通,快速,普通,普通,普通,普通,普通,普通,快速,快速,快速,普通,快速,普通,快速,普通,快速,普通,普通,普通,快速,快速,快速,普通,普通,普通,快速,普通,通勤快速,普通,通勤快速,普通,普通,普通,普通,普通,通勤快速,通勤快速,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,普通,普通,通勤快速,普通,普通,通勤快速,普通,通勤快速,普通,普通,普通,通勤快速,通勤快速,普通,普通,普通,普通,普通,通勤快速,普通,通勤快速,普通,普通,通勤快速,普通,普通,通勤快速,通勤快速,普通,通勤快速,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,快速,普通,普通,通勤快速,普通,普通,普通,普通,普通,普通,快速,普通,普通,通勤快速,快速,普通,普通,普通,普通,普通,通勤快速,普通,通勤快速,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,快速,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,東京テレポート,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場,新木場
終着駅,,大崎,大崎,大崎,川越,川越,大崎,大崎,川越,大崎,川越,大崎,大崎,川越,川越,大崎,川越,大崎,川越,大崎,大崎,大崎,大崎,大崎,大崎,川越,川越,川越,大崎,川越,大崎,川越,大崎,川越,大崎,大崎,大崎,川越,川越,川越,大崎,大崎,大宮,川越,川越,川越,大崎,川越,大崎,大崎,大宮,大崎,川越,川越,川越,川越,大宮,大崎,大崎,大宮,大宮,川越,大崎,東京テレポート,大崎,川越,大崎,大宮,川越,大崎,川越,赤羽,大宮,赤羽,川越,川越,大崎,大崎,大崎,赤羽,大崎,川越,大崎,川越,赤羽,赤羽,川越,赤羽,赤羽,川越,川越,赤羽,川越,東京テレポート,東京テレポート,川越,川越,大宮,川越,川越,川越,大崎,大崎,大崎,大崎,大崎,大崎,大崎,大崎,大崎,川越,大崎,大崎,川越,大崎,大崎,大崎,武蔵浦和,武蔵浦和,大宮,川越,大宮,大崎,川越,川越,大崎,赤羽,大宮,大崎,池袋,川越,大宮,川越,大崎,大宮,武蔵浦和,東京テレポート,川越,池袋,大崎,武蔵浦和,川越,大宮,大宮,川越,大宮,川越,東京テレポート
新木場,発,1047,1016,1009,1023,1040,1031,1136,1142,1111,1102,1152,1128,1120,1202,1229,1220,1247,1240,1254,1212,1314,1329,1346,1355,1340,1320,1302,1411,1420,1430,1443,1452,1402,1439,1527,1510,1502,1543,1520,1550,1534,1629,1601,1655,1647,1643,1623,1635,1617,1714,1748,1755,1702,1741,1726,1735,1720,1708,1851,1833,1819,1859,2231,1838,1806,1825,1811,1844,1800,1945,1931,1918,1950,1924,1903,1955,1912,1938,2012,2050,2043,2019,2002,2034,2056,2025,2151,2134,2143,2124,2116,2104,2110,2157,2241,2226,2216,2204,2257,2314,2322,2337,2354,1002,1056,1609,,539,550,609,656,603,630,648,620,639,717,746,756,750,729,703,737,710,724,840,821,857,847,852,808,832,826,801,814,946,956,901,920,934,907,930,952,925,916,942,911
東雲,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東雲,発,1050,1019,1012,1026,1043,1034,1139,1145,1114,1105,1155,1131,1123,1205,1232,1223,1249,1242,1256,1214,1316,1332,1348,1358,1343,1323,1304,1414,1423,1432,1446,1455,1405,1442,1529,1512,1504,1545,1522,1553,1536,1632,1603,1658,1650,1645,1625,1637,1620,1717,1751,1758,1705,1744,1729,1737,1723,1710,1853,1836,1821,1901,2233,1841,1809,1828,1814,1847,1802,1947,1933,1921,1952,1927,1906,1958,1914,1940,2014,2052,2046,2022,2005,2036,2059,2028,2154,2136,2146,2126,2118,2106,2113,2159,2243,2228,2218,2207,2300,2317,2325,2340,2356,1005,1059,1612,,542,553,611,658,606,633,651,622,642,720,748,758,753,732,705,740,713,726,843,823,859,850,855,810,835,829,804,817,949,959,903,922,937,909,932,955,927,918,945,914
国際展示場,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国際展示場,発,1052,1021,1014,1028,1045,1036,1141,1147,1116,1107,1157,1133,1125,1207,1234,1225,1252,1245,1259,1217,1319,1334,1351,1400,1345,1325,1307,1416,1425,1435,1448,1457,1407,1444,1532,1515,1507,1548,1525,1555,1539,1634,1606,1700,1652,1648,1628,1640,1622,1719,1753,1800,1707,1746,1731,1740,1725,1713,1856,1838,1824,1904,2236,1843,1811,1830,1816,1849,1805,1950,1936,1923,1955,1929,1908,2000,1917,1943,2017,2055,2048,2024,2007,2039,2101,2030,2156,2139,2148,2129,2121,2109,2115,2202,2246,2231,2221,2209,2302,2319,2327,2342,2359,1007,1101,1614,,544,555,614,701,608,635,653,625,644,722,751,801,755,734,708,742,715,729,845,826,902,852,857,813,837,831,806,819,951,1001,906,925,939,912,935,957,930,921,947,916
東京テレポート,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117,2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,,,,,,,,,,918
東京テレポート,発,1055,1023,1016,1030,1047,1039,1143,1149,1118,1109,1200,1135,1127,1209,1237,1227,1254,1247,1301,1219,1321,1336,1353,1402,1347,1327,1309,1418,1428,1437,1450,1500,1409,1447,1534,1517,1509,1550,1527,1559,1541,1637,1608,1702,1655,1650,1630,1642,1625,1722,1755,1803,1710,1748,1734,1742,1727,1715,1859,1840,1826,1906,,1846,1813,1832,1819,1852,1807,1952,1938,1925,1957,1932,1910,2003,1919,1945,2019,2057,2050,2027,2009,2041,2104,2033,2158,2141,2150,2131,2123,2111,,,2248,2233,2223,2211,2304,2322,2330,2344,1,1010,1103,1616,519,546,557,616,703,611,637,656,627,646,725,753,803,757,737,710,745,718,731,847,828,904,855,859,815,840,834,808,822,,1003,908,927,941,915,937,959,932,923,949,
天王洲アイル,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天王洲アイル,発,1059,1027,1020,1034,1051,1043,1147,1153,1122,1113,1203,1139,1131,1213,1241,1231,1258,1251,1305,1223,1325,1340,1357,1406,1351,1331,1313,1422,1431,1441,1454,1504,1413,1450,1538,1521,1513,1554,1531,1602,1545,1640,1612,1706,1658,1654,1634,1646,1628,1725,1759,1806,1713,1752,1738,1746,1731,1719,1902,1844,1830,1910,,1849,1817,1836,1823,1856,1811,1956,1942,1929,2001,1935,1914,2006,1923,1949,2023,2101,2054,2031,2013,2045,2107,2036,2202,2145,2154,2135,2127,2115,,,2252,2237,2227,2215,2308,2325,2334,2348,5,1013,1107,1620,523,550,601,620,707,615,641,659,631,650,728,757,807,801,741,714,749,721,735,851,832,908,859,903,819,843,838,812,826,,1007,912,931,945,918,941,1003,936,927,953,
品川シーサイド,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川シーサイド,発,1101,1029,1022,1036,1053,1045,1149,1155,1124,1115,1206,1141,1133,1215,1243,1233,1300,1253,1307,1225,1327,1342,1359,1408,1353,1333,1315,1424,1434,1443,1456,1506,1415,1453,1540,1523,1515,1556,1533,1605,1547,1643,1614,1708,1701,1656,1636,1648,1631,1728,1801,1809,1716,1754,1740,1748,1733,1721,1905,1846,1832,1912,,1852,1820,1838,1825,1858,1813,1958,1944,1931,2003,1938,1916,2009,1925,1951,2025,2103,2056,2033,2015,2047,2110,2039,2204,2147,2156,2137,2129,2117,,,2254,2239,2229,2217,2310,2328,2336,2350,7,1016,1109,1622,525,552,603,622,709,617,643,702,633,652,731,759,809,803,743,716,751,724,737,853,834,910,901,905,821,846,840,814,828,,1009,914,933,947,921,943,1005,938,929,955,
大井町,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大井町,発,1104,1032,1025,1039,1056,1048,1152,1158,1127,1118,1209,1144,1136,1218,1246,1236,1303,1256,1310,1228,1330,1345,1402,1411,1356,1336,1318,1427,1437,1446,1459,1509,1418,1456,1543,1526,1518,1559,1536,1608,1550,1646,1617,1711,1704,1659,1639,1651,1634,1731,1805,1812,1719,1757,1743,1751,1736,1724,1908,1850,1835,1915,,1855,1823,1842,1828,1901,1816,2001,1947,1934,2006,1941,1919,2012,1928,1954,2028,2106,2059,2036,2018,2050,2113,2042,2207,2150,2159,2140,2132,2120,,,2257,2242,2232,2220,2313,2331,2339,2353,10,1019,1112,1625,528,555,606,625,712,620,646,705,636,655,734,802,812,806,746,719,754,727,740,856,837,913,904,908,824,849,843,817,831,,1012,917,936,950,924,946,1008,941,932,958,
大崎,着,1107,1035,1028,1042,1059,1051,1155,1201,1130,1121,1212,1147,1139,1221,1249,1239,1306,1259,1313,1231,1333,1348,1405,1414,1359,1339,1321,1430,1440,1449,1502,1512,1421,1459,1546,1529,1521,1602,1539,1611,1553,1649,1620,1714,1707,1702,1642,1654,1637,1734,1808,1815,1722,1800,1746,1754,1739,1727,1911,1853,1838,1918,,1858,1826,1845,1831,1904,1819,2004,1950,1937,2009,1944,1922,2015,1931,1957,2031,2109,2102,2039,2021,2053,2116,2045,2210,2153,2202,2143,2135,2123,,,2300,2245,2235,2223,2316,2334,2342,2356,13,1022,1115,1628,531,558,609,628,715,623,649,708,639,658,737,805,815,809,749,722,757,730,743,859,840,916,907,911,827,852,846,820,834,,1015,920,939,953,927,949,1011,944,935,1001,
